  0%|                                                                                                                                                                                      | 0/8721 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
  0%|▌                                                                                                                                                                         | 30/8721 [02:20<11:13:41,  4.65s/it]
{'loss': 7.0413, 'grad_norm': 14.377629280090332, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 6.956, 'grad_norm': 15.172500610351562, 'learning_rate': 7.633587786259541e-06, 'epoch': 0.0}
{'loss': 6.7878, 'grad_norm': 14.080970764160156, 'learning_rate': 1.5267175572519083e-05, 'epoch': 0.0}
{'loss': 6.5729, 'grad_norm': 13.927338600158691, 'learning_rate': 2.2900763358778628e-05, 'epoch': 0.0}
{'loss': 6.4788, 'grad_norm': 11.652758598327637, 'learning_rate': 3.0534351145038166e-05, 'epoch': 0.0}
{'loss': 6.1516, 'grad_norm': 10.12346076965332, 'learning_rate': 3.816793893129771e-05, 'epoch': 0.0}
{'loss': 5.9651, 'grad_norm': 9.038799285888672, 'learning_rate': 4.5801526717557256e-05, 'epoch': 0.0}
{'loss': 5.6874, 'grad_norm': 7.962616443634033, 'learning_rate': 5.3435114503816794e-05, 'epoch': 0.0}
{'loss': 5.7795, 'grad_norm': 7.875694751739502, 'learning_rate': 6.106870229007633e-05, 'epoch': 0.0}
{'loss': 5.3597, 'grad_norm': 6.407756328582764, 'learning_rate': 6.870229007633588e-05, 'epoch': 0.0}
{'loss': 5.3601, 'grad_norm': 5.232868194580078, 'learning_rate': 7.633587786259542e-05, 'epoch': 0.0}
{'loss': 5.3348, 'grad_norm': 5.171477794647217, 'learning_rate': 8.396946564885496e-05, 'epoch': 0.0}
{'loss': 5.1781, 'grad_norm': 5.023175239562988, 'learning_rate': 9.160305343511451e-05, 'epoch': 0.0}
{'loss': 5.0928, 'grad_norm': 4.256111145019531, 'learning_rate': 9.923664122137405e-05, 'epoch': 0.0}
{'loss': 5.0577, 'grad_norm': 4.8445587158203125, 'learning_rate': 0.00010687022900763359, 'epoch': 0.0}
{'loss': 4.955, 'grad_norm': 3.7934272289276123, 'learning_rate': 0.00011450381679389313, 'epoch': 0.0}
{'loss': 4.8172, 'grad_norm': 3.752363443374634, 'learning_rate': 0.00012213740458015266, 'epoch': 0.0}
{'loss': 4.6469, 'grad_norm': 3.119466781616211, 'learning_rate': 0.00012977099236641222, 'epoch': 0.0}
{'loss': 4.7694, 'grad_norm': 3.2544167041778564, 'learning_rate': 0.00013740458015267177, 'epoch': 0.0}
{'loss': 4.6856, 'grad_norm': 3.255317211151123, 'learning_rate': 0.0001450381679389313, 'epoch': 0.0}
{'loss': 4.6071, 'grad_norm': 3.457430839538574, 'learning_rate': 0.00015267175572519084, 'epoch': 0.0}
{'loss': 4.5576, 'grad_norm': 3.4050774574279785, 'learning_rate': 0.00016030534351145037, 'epoch': 0.0}
{'loss': 4.4076, 'grad_norm': 2.903679847717285, 'learning_rate': 0.00016793893129770992, 'epoch': 0.0}
{'loss': 4.2121, 'grad_norm': 3.3153932094573975, 'learning_rate': 0.00017557251908396944, 'epoch': 0.0}
{'loss': 4.432, 'grad_norm': 2.7636053562164307, 'learning_rate': 0.00018320610687022902, 'epoch': 0.0}
{'loss': 4.3962, 'grad_norm': 2.7318928241729736, 'learning_rate': 0.00019083969465648857, 'epoch': 0.0}
{'loss': 4.4525, 'grad_norm': 2.4779999256134033, 'learning_rate': 0.0001984732824427481, 'epoch': 0.0}
{'loss': 4.1568, 'grad_norm': 2.594788074493408, 'learning_rate': 0.00020610687022900765, 'epoch': 0.0}
{'loss': 4.1092, 'grad_norm': 2.488806962966919, 'learning_rate': 0.00021374045801526718, 'epoch': 0.0}
{'loss': 4.2881, 'grad_norm': 2.071282148361206, 'learning_rate': 0.00022137404580152673, 'epoch': 0.0}
