                                                                                                          
{'loss': 7.4727, 'grad_norm': 26.494152069091797, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 7.0695, 'grad_norm': 24.063854217529297, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 7.4238, 'grad_norm': 22.608379364013672, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 7.1845, 'grad_norm': 22.191194534301758, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 7.2076, 'grad_norm': 23.349620819091797, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 6.7857, 'grad_norm': 18.476242065429688, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 7.1346, 'grad_norm': 23.17457389831543, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 7.0981, 'grad_norm': 23.21336555480957, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 6.9483, 'grad_norm': 22.08778190612793, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 6.4115, 'grad_norm': 17.50384521484375, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 6.2586, 'grad_norm': 16.518810272216797, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 6.2258, 'grad_norm': 15.997651100158691, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 6.053, 'grad_norm': 15.859783172607422, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 6.2633, 'grad_norm': 14.867555618286133, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 5.9008, 'grad_norm': 16.50198745727539, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 5.8343, 'grad_norm': 14.96522331237793, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 5.9538, 'grad_norm': 13.752730369567871, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 5.7195, 'grad_norm': 14.226305961608887, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 5.6219, 'grad_norm': 15.513970375061035, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 5.506, 'grad_norm': 12.922414779663086, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 5.365, 'grad_norm': 13.035968780517578, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 5.3558, 'grad_norm': 10.891246795654297, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 5.2769, 'grad_norm': 11.455953598022461, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 5.4415, 'grad_norm': 11.563597679138184, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
{'loss': 5.3688, 'grad_norm': 11.680679321289062, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 5.3147, 'grad_norm': 10.378789901733398, 'learning_rate': 4.775549188156638e-05, 'epoch': 0.0}
{'loss': 5.0812, 'grad_norm': 12.181761741638184, 'learning_rate': 4.9665711556829036e-05, 'epoch': 0.0}
{'loss': 4.6239, 'grad_norm': 10.096209526062012, 'learning_rate': 5.157593123209169e-05, 'epoch': 0.0}
{'loss': 4.9359, 'grad_norm': 10.038961410522461, 'learning_rate': 5.348615090735435e-05, 'epoch': 0.0}
{'loss': 4.5938, 'grad_norm': 9.851005554199219, 'learning_rate': 5.5396370582617005e-05, 'epoch': 0.0}
{'loss': 4.5511, 'grad_norm': 10.218944549560547, 'learning_rate': 5.730659025787966e-05, 'epoch': 0.0}
{'loss': 5.0676, 'grad_norm': 11.166622161865234, 'learning_rate': 5.921680993314231e-05, 'epoch': 0.0}
{'loss': 4.7287, 'grad_norm': 10.075479507446289, 'learning_rate': 6.112702960840496e-05, 'epoch': 0.0}
{'loss': 5.2927, 'grad_norm': 10.457802772521973, 'learning_rate': 6.303724928366763e-05, 'epoch': 0.0}
{'loss': 4.2628, 'grad_norm': 9.614530563354492, 'learning_rate': 6.494746895893028e-05, 'epoch': 0.0}
{'loss': 4.8642, 'grad_norm': 10.284220695495605, 'learning_rate': 6.685768863419294e-05, 'epoch': 0.0}
{'loss': 4.5203, 'grad_norm': 8.759271621704102, 'learning_rate': 6.876790830945559e-05, 'epoch': 0.0}
{'loss': 4.6589, 'grad_norm': 9.51953411102295, 'learning_rate': 7.067812798471824e-05, 'epoch': 0.0}
{'loss': 4.4513, 'grad_norm': 9.51853084564209, 'learning_rate': 7.25883476599809e-05, 'epoch': 0.0}
{'loss': 4.4379, 'grad_norm': 8.906736373901367, 'learning_rate': 7.449856733524355e-05, 'epoch': 0.0}
{'loss': 4.6302, 'grad_norm': 8.55233383178711, 'learning_rate': 7.640878701050622e-05, 'epoch': 0.0}
{'loss': 4.6173, 'grad_norm': 9.921614646911621, 'learning_rate': 7.831900668576888e-05, 'epoch': 0.0}
{'loss': 4.6328, 'grad_norm': 9.217647552490234, 'learning_rate': 8.022922636103153e-05, 'epoch': 0.0}
{'loss': 4.5604, 'grad_norm': 9.370999336242676, 'learning_rate': 8.213944603629417e-05, 'epoch': 0.0}
{'loss': 4.7783, 'grad_norm': 9.592524528503418, 'learning_rate': 8.404966571155682e-05, 'epoch': 0.0}
{'loss': 4.6627, 'grad_norm': 8.477473258972168, 'learning_rate': 8.595988538681948e-05, 'epoch': 0.0}
{'loss': 4.6594, 'grad_norm': 9.095137596130371, 'learning_rate': 8.787010506208213e-05, 'epoch': 0.0}
{'loss': 4.8971, 'grad_norm': 9.219533920288086, 'learning_rate': 8.978032473734479e-05, 'epoch': 0.0}
{'loss': 4.631, 'grad_norm': 9.049764633178711, 'learning_rate': 9.169054441260745e-05, 'epoch': 0.0}
{'loss': 4.3632, 'grad_norm': 9.230464935302734, 'learning_rate': 9.360076408787011e-05, 'epoch': 0.0}
{'loss': 4.5453, 'grad_norm': 8.758456230163574, 'learning_rate': 9.551098376313276e-05, 'epoch': 0.0}
{'loss': 4.6043, 'grad_norm': 8.729997634887695, 'learning_rate': 9.742120343839542e-05, 'epoch': 0.0}
{'loss': 4.1761, 'grad_norm': 8.070292472839355, 'learning_rate': 9.933142311365807e-05, 'epoch': 0.0}
{'loss': 4.6436, 'grad_norm': 8.614510536193848, 'learning_rate': 0.00010124164278892073, 'epoch': 0.0}
{'loss': 4.4096, 'grad_norm': 8.104501724243164, 'learning_rate': 0.00010315186246418338, 'epoch': 0.0}
{'loss': 4.3679, 'grad_norm': 8.21632194519043, 'learning_rate': 0.00010506208213944605, 'epoch': 0.0}
