                                                                                                         
{'loss': 15.0978, 'grad_norm': 166.61439514160156, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 14.7794, 'grad_norm': 86.75192260742188, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 14.7489, 'grad_norm': 121.4359130859375, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 15.4799, 'grad_norm': 104.4583740234375, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 15.1281, 'grad_norm': 101.41097259521484, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 15.6649, 'grad_norm': 66.46051788330078, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 14.819, 'grad_norm': 116.43582153320312, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 15.0802, 'grad_norm': 122.52073669433594, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 15.1623, 'grad_norm': 65.08599853515625, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 14.7394, 'grad_norm': 130.47265625, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 15.5779, 'grad_norm': 105.46338653564453, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 14.7088, 'grad_norm': 71.20355224609375, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 14.8322, 'grad_norm': 101.28423309326172, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 15.3987, 'grad_norm': 175.0302734375, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 14.8307, 'grad_norm': 91.93096923828125, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 14.8236, 'grad_norm': 124.52386474609375, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 14.5104, 'grad_norm': 152.5660400390625, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 14.8176, 'grad_norm': 76.7636489868164, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 15.1093, 'grad_norm': 101.45426177978516, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 14.4991, 'grad_norm': 95.85572814941406, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 14.8882, 'grad_norm': 110.24641418457031, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 14.7462, 'grad_norm': 80.0301284790039, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 14.795, 'grad_norm': 53.73179626464844, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 14.682, 'grad_norm': 72.73300170898438, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
{'loss': 14.4348, 'grad_norm': 75.19839477539062, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 14.3145, 'grad_norm': 78.97125244140625, 'learning_rate': 4.775549188156638e-05, 'epoch': 0.0}
{'loss': 14.3486, 'grad_norm': 179.68614196777344, 'learning_rate': 4.9665711556829036e-05, 'epoch': 0.0}
{'loss': 13.9753, 'grad_norm': 104.46035766601562, 'learning_rate': 5.157593123209169e-05, 'epoch': 0.0}
{'loss': 14.1967, 'grad_norm': 82.90892791748047, 'learning_rate': 5.348615090735435e-05, 'epoch': 0.0}
{'loss': 13.9748, 'grad_norm': 68.30667877197266, 'learning_rate': 5.5396370582617005e-05, 'epoch': 0.0}
{'loss': 14.0571, 'grad_norm': 53.36835861206055, 'learning_rate': 5.730659025787966e-05, 'epoch': 0.0}
{'loss': 13.8059, 'grad_norm': 89.36308288574219, 'learning_rate': 5.921680993314231e-05, 'epoch': 0.0}
{'loss': 14.4104, 'grad_norm': 67.61265563964844, 'learning_rate': 6.112702960840496e-05, 'epoch': 0.0}
{'loss': 14.0464, 'grad_norm': 78.58009338378906, 'learning_rate': 6.303724928366763e-05, 'epoch': 0.0}
{'loss': 13.8149, 'grad_norm': 93.21220397949219, 'learning_rate': 6.494746895893028e-05, 'epoch': 0.0}
{'loss': 13.0612, 'grad_norm': 58.02818298339844, 'learning_rate': 6.685768863419294e-05, 'epoch': 0.0}
{'loss': 13.311, 'grad_norm': 73.8955078125, 'learning_rate': 6.876790830945559e-05, 'epoch': 0.0}
{'loss': 13.2335, 'grad_norm': 54.654972076416016, 'learning_rate': 7.067812798471824e-05, 'epoch': 0.0}
{'loss': 13.9641, 'grad_norm': 95.01113891601562, 'learning_rate': 7.25883476599809e-05, 'epoch': 0.0}
{'loss': 13.4839, 'grad_norm': 58.364898681640625, 'learning_rate': 7.449856733524355e-05, 'epoch': 0.0}
{'loss': 13.0179, 'grad_norm': 68.77056884765625, 'learning_rate': 7.640878701050622e-05, 'epoch': 0.0}
{'loss': 12.5898, 'grad_norm': 57.4854736328125, 'learning_rate': 7.831900668576888e-05, 'epoch': 0.0}
{'loss': 12.5049, 'grad_norm': 33.96870040893555, 'learning_rate': 8.022922636103153e-05, 'epoch': 0.0}
{'loss': 12.3683, 'grad_norm': 145.4780731201172, 'learning_rate': 8.213944603629417e-05, 'epoch': 0.0}
{'loss': 12.246, 'grad_norm': 50.049842834472656, 'learning_rate': 8.404966571155682e-05, 'epoch': 0.0}
{'loss': 12.3834, 'grad_norm': 107.75025939941406, 'learning_rate': 8.595988538681948e-05, 'epoch': 0.0}
{'loss': 12.4142, 'grad_norm': 50.277503967285156, 'learning_rate': 8.787010506208213e-05, 'epoch': 0.0}
{'loss': 12.6714, 'grad_norm': 64.45805358886719, 'learning_rate': 8.978032473734479e-05, 'epoch': 0.0}
{'loss': 12.0297, 'grad_norm': 131.21893310546875, 'learning_rate': 9.169054441260745e-05, 'epoch': 0.0}
{'loss': 12.4092, 'grad_norm': 43.06380844116211, 'learning_rate': 9.360076408787011e-05, 'epoch': 0.0}
{'loss': 11.4867, 'grad_norm': 30.747024536132812, 'learning_rate': 9.551098376313276e-05, 'epoch': 0.0}
{'loss': 11.1781, 'grad_norm': 37.588294982910156, 'learning_rate': 9.742120343839542e-05, 'epoch': 0.0}
{'loss': 11.0852, 'grad_norm': 25.574857711791992, 'learning_rate': 9.933142311365807e-05, 'epoch': 0.0}
{'loss': 11.9376, 'grad_norm': 30.91059684753418, 'learning_rate': 0.00010124164278892073, 'epoch': 0.0}
{'loss': 10.9165, 'grad_norm': 28.95745086669922, 'learning_rate': 0.00010315186246418338, 'epoch': 0.0}
{'loss': 10.6877, 'grad_norm': 18.432621002197266, 'learning_rate': 0.00010506208213944605, 'epoch': 0.0}
{'loss': 11.2825, 'grad_norm': 17.540122985839844, 'learning_rate': 0.0001069723018147087, 'epoch': 0.0}
{'loss': 10.6541, 'grad_norm': 42.37068176269531, 'learning_rate': 0.00010888252148997136, 'epoch': 0.0}
{'loss': 11.3005, 'grad_norm': 34.974056243896484, 'learning_rate': 0.00011079274116523401, 'epoch': 0.0}
{'loss': 11.1924, 'grad_norm': 67.16607666015625, 'learning_rate': 0.00011270296084049666, 'epoch': 0.0}
{'loss': 10.273, 'grad_norm': 22.956457138061523, 'learning_rate': 0.00011461318051575932, 'epoch': 0.0}
{'loss': 10.0763, 'grad_norm': 21.731037139892578, 'learning_rate': 0.00011652340019102196, 'epoch': 0.0}
{'loss': 10.7194, 'grad_norm': 47.551212310791016, 'learning_rate': 0.00011843361986628463, 'epoch': 0.0}
{'loss': 10.3197, 'grad_norm': 17.0189266204834, 'learning_rate': 0.00012034383954154728, 'epoch': 0.0}
{'loss': 10.3423, 'grad_norm': 26.614662170410156, 'learning_rate': 0.00012225405921680992, 'epoch': 0.0}
{'loss': 10.5606, 'grad_norm': 23.128549575805664, 'learning_rate': 0.0001241642788920726, 'epoch': 0.0}
{'loss': 9.2961, 'grad_norm': 15.203495979309082, 'learning_rate': 0.00012607449856733526, 'epoch': 0.0}
{'loss': 10.1546, 'grad_norm': 14.21467399597168, 'learning_rate': 0.00012798471824259792, 'epoch': 0.0}
{'loss': 9.5442, 'grad_norm': 12.627434730529785, 'learning_rate': 0.00012989493791786056, 'epoch': 0.0}
{'loss': 10.1009, 'grad_norm': 14.589606285095215, 'learning_rate': 0.0001318051575931232, 'epoch': 0.0}
{'loss': 9.6958, 'grad_norm': 15.265870094299316, 'learning_rate': 0.00013371537726838587, 'epoch': 0.0}
{'loss': 9.7866, 'grad_norm': 29.496753692626953, 'learning_rate': 0.00013562559694364851, 'epoch': 0.0}
{'loss': 10.3199, 'grad_norm': 12.977169036865234, 'learning_rate': 0.00013753581661891118, 'epoch': 0.0}
{'loss': 9.5011, 'grad_norm': 62.58738327026367, 'learning_rate': 0.00013944603629417382, 'epoch': 0.0}
