                                                                                                         
{'loss': 15.6903, 'grad_norm': 161.16883850097656, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 15.4948, 'grad_norm': 80.34642028808594, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 14.6839, 'grad_norm': 141.78993225097656, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 15.99, 'grad_norm': 71.68589782714844, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 15.355, 'grad_norm': 62.20306396484375, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 16.0204, 'grad_norm': 59.17673873901367, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 15.6429, 'grad_norm': 57.7550048828125, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 15.4048, 'grad_norm': 109.79644012451172, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 15.6743, 'grad_norm': 82.03877258300781, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 15.6805, 'grad_norm': 89.22689819335938, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 15.2681, 'grad_norm': 68.26663970947266, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 15.4157, 'grad_norm': 78.15545654296875, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 15.4119, 'grad_norm': 113.62769317626953, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 15.7033, 'grad_norm': 112.01487731933594, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 15.5782, 'grad_norm': 107.6868896484375, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 14.5435, 'grad_norm': 79.10649108886719, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 15.0032, 'grad_norm': 81.35848236083984, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 14.5889, 'grad_norm': 87.14608764648438, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 14.896, 'grad_norm': 66.8927001953125, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 14.6615, 'grad_norm': 91.93177795410156, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 14.9937, 'grad_norm': 81.7256088256836, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 14.4891, 'grad_norm': 53.59397888183594, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 14.408, 'grad_norm': 59.0940055847168, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 14.6496, 'grad_norm': 75.60806274414062, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
{'loss': 14.8994, 'grad_norm': 70.26982879638672, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 13.898, 'grad_norm': 51.557769775390625, 'learning_rate': 4.775549188156638e-05, 'epoch': 0.0}
{'loss': 15.1906, 'grad_norm': 53.844276428222656, 'learning_rate': 4.9665711556829036e-05, 'epoch': 0.0}
{'loss': 14.3273, 'grad_norm': 78.1656494140625, 'learning_rate': 5.157593123209169e-05, 'epoch': 0.0}
{'loss': 14.2937, 'grad_norm': 86.95521545410156, 'learning_rate': 5.348615090735435e-05, 'epoch': 0.0}
{'loss': 14.2012, 'grad_norm': 53.759422302246094, 'learning_rate': 5.5396370582617005e-05, 'epoch': 0.0}
{'loss': 13.756, 'grad_norm': 70.931640625, 'learning_rate': 5.730659025787966e-05, 'epoch': 0.0}
{'loss': 14.0122, 'grad_norm': 54.81306076049805, 'learning_rate': 5.921680993314231e-05, 'epoch': 0.0}
{'loss': 13.2379, 'grad_norm': 131.2423095703125, 'learning_rate': 6.112702960840496e-05, 'epoch': 0.0}
{'loss': 13.8345, 'grad_norm': 75.41539764404297, 'learning_rate': 6.303724928366763e-05, 'epoch': 0.0}
{'loss': 13.7501, 'grad_norm': 58.722896575927734, 'learning_rate': 6.494746895893028e-05, 'epoch': 0.0}
{'loss': 13.8172, 'grad_norm': 46.52711486816406, 'learning_rate': 6.685768863419294e-05, 'epoch': 0.0}
{'loss': 13.984, 'grad_norm': 58.67183303833008, 'learning_rate': 6.876790830945559e-05, 'epoch': 0.0}
{'loss': 13.7097, 'grad_norm': 28.7784366607666, 'learning_rate': 7.067812798471824e-05, 'epoch': 0.0}
{'loss': 13.2111, 'grad_norm': 32.15879440307617, 'learning_rate': 7.25883476599809e-05, 'epoch': 0.0}
{'loss': 13.2859, 'grad_norm': 27.523738861083984, 'learning_rate': 7.449856733524355e-05, 'epoch': 0.0}
{'loss': 13.3193, 'grad_norm': 34.057613372802734, 'learning_rate': 7.640878701050622e-05, 'epoch': 0.0}
{'loss': 13.4168, 'grad_norm': 29.066852569580078, 'learning_rate': 7.831900668576888e-05, 'epoch': 0.0}
{'loss': 12.5186, 'grad_norm': 33.92811584472656, 'learning_rate': 8.022922636103153e-05, 'epoch': 0.0}
{'loss': 12.8593, 'grad_norm': 28.255905151367188, 'learning_rate': 8.213944603629417e-05, 'epoch': 0.0}
{'loss': 12.4438, 'grad_norm': 27.050735473632812, 'learning_rate': 8.404966571155682e-05, 'epoch': 0.0}
{'loss': 12.6592, 'grad_norm': 26.169692993164062, 'learning_rate': 8.595988538681948e-05, 'epoch': 0.0}
