  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 4.1203, 'grad_norm': 0.6485615372657776, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 4.6653, 'grad_norm': 0.6251121163368225, 'learning_rate': 4.310341861213374e-12, 'epoch': 0.0}
{'loss': 4.6105, 'grad_norm': 0.5939396023750305, 'learning_rate': 1.7241367444853495e-11, 'epoch': 0.0}
{'loss': 4.1768, 'grad_norm': 0.571176290512085, 'learning_rate': 3.879307652887576e-11, 'epoch': 0.0}
{'loss': 4.238, 'grad_norm': 0.5924761891365051, 'learning_rate': 6.896546911328017e-11, 'epoch': 0.0}
{'loss': 4.6736, 'grad_norm': 0.5702802538871765, 'learning_rate': 1.0775854486499981e-10, 'epoch': 0.0}
{'loss': 4.8396, 'grad_norm': 0.5977507829666138, 'learning_rate': 1.5517230333994547e-10, 'epoch': 0.0}
{'loss': 4.1846, 'grad_norm': 0.5941037535667419, 'learning_rate': 2.1120674420505026e-10, 'epoch': 0.0}
{'loss': 3.9724, 'grad_norm': 0.6838706135749817, 'learning_rate': 2.7586186701622493e-10, 'epoch': 0.0}
{'loss': 4.2173, 'grad_norm': 0.5786845088005066, 'learning_rate': 3.4913767121835805e-10, 'epoch': 0.0}
{'loss': 4.3451, 'grad_norm': 0.5373134613037109, 'learning_rate': 4.310341560342934e-10, 'epoch': 0.0}
{'loss': 4.4095, 'grad_norm': 0.6207045912742615, 'learning_rate': 5.215513210199418e-10, 'epoch': 0.0}
{'loss': 4.0089, 'grad_norm': 0.5997722148895264, 'learning_rate': 6.206891651761027e-10, 'epoch': 0.0}
{'loss': 4.6425, 'grad_norm': 0.7319197654724121, 'learning_rate': 7.284476876145974e-10, 'epoch': 0.0}
{'loss': 3.7996, 'grad_norm': 0.721975564956665, 'learning_rate': 8.448268876692921e-10, 'epoch': 0.0}
{'loss': 4.3602, 'grad_norm': 0.5895606875419617, 'learning_rate': 9.698267641189417e-10, 'epoch': 0.0}
{'loss': 4.2021, 'grad_norm': 0.7396560311317444, 'learning_rate': 1.1034473158533231e-09, 'epoch': 0.0}
{'loss': 4.1113, 'grad_norm': 0.6291100382804871, 'learning_rate': 1.2456885418732355e-09, 'epoch': 0.0}
{'loss': 4.4004, 'grad_norm': 0.6526287794113159, 'learning_rate': 1.3965504409574336e-09, 'epoch': 0.0}
{'loss': 4.2544, 'grad_norm': 0.5972356200218201, 'learning_rate': 1.5560330116626275e-09, 'epoch': 0.0}
{'loss': 4.6937, 'grad_norm': 0.7657872438430786, 'learning_rate': 1.7241362526565495e-09, 'epoch': 0.0}
{'loss': 4.026, 'grad_norm': 0.5632486939430237, 'learning_rate': 1.9008601626069324e-09, 'epoch': 0.0}
{'loss': 4.7527, 'grad_norm': 0.6512529253959656, 'learning_rate': 2.0862047398484408e-09, 'epoch': 0.0}
{'loss': 4.0973, 'grad_norm': 0.5649752020835876, 'learning_rate': 2.280169982937785e-09, 'epoch': 0.0}
{'loss': 5.0961, 'grad_norm': 0.624459445476532, 'learning_rate': 2.482755889987587e-09, 'epoch': 0.0}
{'loss': 4.4521, 'grad_norm': 0.6336148381233215, 'learning_rate': 2.693962459443533e-09, 'epoch': 0.0}
{'loss': 4.7103, 'grad_norm': 0.6487945318222046, 'learning_rate': 2.9137896893072224e-09, 'epoch': 0.0}
{'loss': 3.7354, 'grad_norm': 0.5864670276641846, 'learning_rate': 3.1422375779133203e-09, 'epoch': 0.0}
{'loss': 4.4375, 'grad_norm': 0.6754408478736877, 'learning_rate': 3.3793061230413815e-09, 'epoch': 0.0}
{'loss': 3.8212, 'grad_norm': 0.5805603265762329, 'learning_rate': 3.6249953229150478e-09, 'epoch': 0.0}
{'loss': 3.8422, 'grad_norm': 0.6081444621086121, 'learning_rate': 3.87930517509183e-09, 'epoch': 0.0}
{'loss': 4.2674, 'grad_norm': 0.5809465050697327, 'learning_rate': 4.142235677684347e-09, 'epoch': 0.0}
{'loss': 4.1857, 'grad_norm': 0.6813510656356812, 'learning_rate': 4.413786828361133e-09, 'epoch': 0.0}
{'loss': 4.0952, 'grad_norm': 0.6020777225494385, 'learning_rate': 4.693958624568673e-09, 'epoch': 0.0}
{'loss': 3.947, 'grad_norm': 0.5570089221000671, 'learning_rate': 4.9827510641975435e-09, 'epoch': 0.0}
{'loss': 4.7772, 'grad_norm': 0.6124519109725952, 'learning_rate': 5.280164144472188e-09, 'epoch': 0.0}
{'loss': 3.8147, 'grad_norm': 0.5148314237594604, 'learning_rate': 5.586197863061138e-09, 'epoch': 0.0}
{'loss': 4.4234, 'grad_norm': 0.616206169128418, 'learning_rate': 5.900852217188835e-09, 'epoch': 0.0}
{'loss': 3.9147, 'grad_norm': 0.6848025321960449, 'learning_rate': 6.2241272041907435e-09, 'epoch': 0.0}
{'loss': 3.9081, 'grad_norm': 0.5619276762008667, 'learning_rate': 6.5560228211802854e-09, 'epoch': 0.0}
{'loss': 4.2675, 'grad_norm': 0.5343508720397949, 'learning_rate': 6.896539065492924e-09, 'epoch': 0.0}
{'loss': 4.699, 'grad_norm': 0.718139111995697, 'learning_rate': 7.245675934131057e-09, 'epoch': 0.0}
{'loss': 3.7511, 'grad_norm': 0.6095446348190308, 'learning_rate': 7.60343342387504e-09, 'epoch': 0.0}
{'loss': 4.182, 'grad_norm': 0.5962433815002441, 'learning_rate': 7.969811531949311e-09, 'epoch': 0.0}
{'loss': 4.2192, 'grad_norm': 0.6040006279945374, 'learning_rate': 8.344810255023206e-09, 'epoch': 0.0}
{'loss': 4.4912, 'grad_norm': 0.5364689230918884, 'learning_rate': 8.728429589877075e-09, 'epoch': 0.0}
{'loss': 4.1937, 'grad_norm': 0.6506974697113037, 'learning_rate': 9.120669533180248e-09, 'epoch': 0.0}
{'loss': 4.7769, 'grad_norm': 0.6039231419563293, 'learning_rate': 9.521530081602059e-09, 'epoch': 0.0}
{'loss': 4.729, 'grad_norm': 0.6113538146018982, 'learning_rate': 9.931011231700815e-09, 'epoch': 0.0}
{'loss': 4.2274, 'grad_norm': 0.7179421782493591, 'learning_rate': 1.0349112979923802e-08, 'epoch': 0.0}
{'loss': 4.4782, 'grad_norm': 0.5972994565963745, 'learning_rate': 1.0775835322718308e-08, 'epoch': 0.0}
{'loss': 4.0419, 'grad_norm': 0.606575071811676, 'learning_rate': 1.1211178256309573e-08, 'epoch': 0.0}
{'loss': 4.1424, 'grad_norm': 0.7159347534179688, 'learning_rate': 1.165514177692284e-08, 'epoch': 0.0}
{'loss': 4.705, 'grad_norm': 0.6895042657852173, 'learning_rate': 1.2107725880894371e-08, 'epoch': 0.0}
{'loss': 4.4798, 'grad_norm': 0.7550497651100159, 'learning_rate': 1.2568930564227366e-08, 'epoch': 0.0}
{'loss': 4.4657, 'grad_norm': 0.5852933526039124, 'learning_rate': 1.3038755822813997e-08, 'epoch': 0.0}
{'loss': 4.6705, 'grad_norm': 0.6220299601554871, 'learning_rate': 1.3517201652879507e-08, 'epoch': 0.0}
{'loss': 4.1865, 'grad_norm': 0.49946850538253784, 'learning_rate': 1.4004268050094027e-08, 'epoch': 0.0}
{'loss': 4.4841, 'grad_norm': 0.6160222887992859, 'learning_rate': 1.4499955010238707e-08, 'epoch': 0.0}
{'loss': 4.2671, 'grad_norm': 0.5533487796783447, 'learning_rate': 1.5004262529205725e-08, 'epoch': 0.0}
{'loss': 4.0405, 'grad_norm': 0.6720402836799622, 'learning_rate': 1.551719060255419e-08, 'epoch': 0.0}
{'loss': 3.9096, 'grad_norm': 0.6021965146064758, 'learning_rate': 1.6038739225843202e-08, 'epoch': 0.0}
{'loss': 4.7996, 'grad_norm': 0.6669713258743286, 'learning_rate': 1.6568908394631877e-08, 'epoch': 0.0}
{'loss': 4.0248, 'grad_norm': 0.6661138534545898, 'learning_rate': 1.7107698104368296e-08, 'epoch': 0.0}
{'loss': 3.9611, 'grad_norm': 0.605760931968689, 'learning_rate': 1.7655108350278504e-08, 'epoch': 0.0}
{'loss': 4.5862, 'grad_norm': 0.609849214553833, 'learning_rate': 1.8211139127699562e-08, 'epoch': 0.0}
{'loss': 3.7674, 'grad_norm': 0.7115198373794556, 'learning_rate': 1.877579043185751e-08, 'epoch': 0.0}
{'loss': 4.1241, 'grad_norm': 0.6700165867805481, 'learning_rate': 1.934906225797839e-08, 'epoch': 0.0}
{'loss': 4.0539, 'grad_norm': 0.6128708720207214, 'learning_rate': 1.9930954600955176e-08, 'epoch': 0.0}
{'loss': 4.5194, 'grad_norm': 0.9276129007339478, 'learning_rate': 2.0521467455902886e-08, 'epoch': 0.0}
{'loss': 4.0858, 'grad_norm': 0.6044333577156067, 'learning_rate': 2.1120600817714496e-08, 'epoch': 0.0}
{'loss': 4.0545, 'grad_norm': 0.5766931772232056, 'learning_rate': 2.1728354681060936e-08, 'epoch': 0.0}
{'loss': 4.6373, 'grad_norm': 0.5662342309951782, 'learning_rate': 2.23447290409462e-08, 'epoch': 0.0}
{'loss': 4.2178, 'grad_norm': 0.6567116975784302, 'learning_rate': 2.2969723891819173e-08, 'epoch': 0.0}
{'loss': 3.9373, 'grad_norm': 0.5878000259399414, 'learning_rate': 2.360333922857283e-08, 'epoch': 0.0}
{'loss': 4.3406, 'grad_norm': 0.5769597291946411, 'learning_rate': 2.424557504543401e-08, 'epoch': 0.0}
{'loss': 4.156, 'grad_norm': 0.5572071075439453, 'learning_rate': 2.4896431337073643e-08, 'epoch': 0.0}
{'loss': 4.2013, 'grad_norm': 0.6665095090866089, 'learning_rate': 2.5555908097829593e-08, 'epoch': 0.0}
{'loss': 4.0446, 'grad_norm': 0.5257902145385742, 'learning_rate': 2.6224005322039725e-08, 'epoch': 0.0}
{'loss': 3.8103, 'grad_norm': 0.6075406074523926, 'learning_rate': 2.690072300381985e-08, 'epoch': 0.0}
{'loss': 4.0152, 'grad_norm': 0.5685920119285583, 'learning_rate': 2.7586061137507834e-08, 'epoch': 0.0}
{'loss': 4.1354, 'grad_norm': 0.6332795023918152, 'learning_rate': 2.8280019717108474e-08, 'epoch': 0.0}
{'loss': 4.8772, 'grad_norm': 0.7541142106056213, 'learning_rate': 2.8982598736626563e-08, 'epoch': 0.0}
{'loss': 3.7454, 'grad_norm': 0.6678025722503662, 'learning_rate': 2.96937981900669e-08, 'epoch': 0.0}
{'loss': 4.5806, 'grad_norm': 0.601746678352356, 'learning_rate': 3.041361807121223e-08, 'epoch': 0.0}
{'loss': 4.565, 'grad_norm': 0.6126677393913269, 'learning_rate': 3.114205837395634e-08, 'epoch': 0.0}
{'loss': 4.3534, 'grad_norm': 0.6062706112861633, 'learning_rate': 3.187911909197094e-08, 'epoch': 0.0}
{'loss': 4.7471, 'grad_norm': 0.7076534628868103, 'learning_rate': 3.2624800218927774e-08, 'epoch': 0.0}
{'loss': 4.0568, 'grad_norm': 0.5828562378883362, 'learning_rate': 3.337910174827652e-08, 'epoch': 0.0}
{'loss': 4.3166, 'grad_norm': 0.6735270619392395, 'learning_rate': 3.4142023673688905e-08, 'epoch': 0.0}
{'loss': 3.8709, 'grad_norm': 0.6916391253471375, 'learning_rate': 3.491356598850359e-08, 'epoch': 0.0}
{'loss': 4.05, 'grad_norm': 0.5563493967056274, 'learning_rate': 3.5693728685948226e-08, 'epoch': 0.0}
{'loss': 4.0971, 'grad_norm': 0.5949312448501587, 'learning_rate': 3.64825117595835e-08, 'epoch': 0.0}
{'loss': 3.6517, 'grad_norm': 0.6237386465072632, 'learning_rate': 3.727991520241503e-08, 'epoch': 0.0}
