  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.402, 'grad_norm': 4758289.5, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.0855, 'grad_norm': 11172980.0, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 27.5323, 'grad_norm': 35103536.0, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 26.608, 'grad_norm': 5008605.0, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 27.4858, 'grad_norm': 23040274.0, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 27.1433, 'grad_norm': 22135834.0, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 27.2062, 'grad_norm': 6897515.5, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 26.8846, 'grad_norm': 28623938.0, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 27.1667, 'grad_norm': 12081609.0, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 26.67, 'grad_norm': 11851006.0, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 27.3547, 'grad_norm': 3812811.0, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 27.4926, 'grad_norm': 6115137.0, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 27.7321, 'grad_norm': 34446116.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 26.7563, 'grad_norm': 23358480.0, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 27.1154, 'grad_norm': 49661160.0, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 27.0916, 'grad_norm': 13926139.0, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 27.1634, 'grad_norm': 3665543.25, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 27.0456, 'grad_norm': 7917857.0, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 26.6409, 'grad_norm': 33738812.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 27.0075, 'grad_norm': 25843030.0, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 27.1338, 'grad_norm': 6851773.0, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 26.6118, 'grad_norm': 8458619.0, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 26.3393, 'grad_norm': 9734544.0, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 26.6736, 'grad_norm': 3009304.25, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
{'loss': 26.4152, 'grad_norm': 16972972.0, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 27.3704, 'grad_norm': 4481589.0, 'learning_rate': 4.775549188156638e-05, 'epoch': 0.0}
{'loss': 26.1622, 'grad_norm': 263145856.0, 'learning_rate': 4.9665711556829036e-05, 'epoch': 0.0}
{'loss': 26.007, 'grad_norm': 16514101.0, 'learning_rate': 5.157593123209169e-05, 'epoch': 0.0}
{'loss': 26.8383, 'grad_norm': 4591149.5, 'learning_rate': 5.348615090735435e-05, 'epoch': 0.0}
{'loss': 27.1652, 'grad_norm': 12256534.0, 'learning_rate': 5.5396370582617005e-05, 'epoch': 0.0}
{'loss': 27.0255, 'grad_norm': 34174404.0, 'learning_rate': 5.730659025787966e-05, 'epoch': 0.0}
{'loss': 26.1249, 'grad_norm': 2875304.25, 'learning_rate': 5.921680993314231e-05, 'epoch': 0.0}
{'loss': 25.964, 'grad_norm': 9294303.0, 'learning_rate': 6.112702960840496e-05, 'epoch': 0.0}
{'loss': 26.4408, 'grad_norm': 6843000.0, 'learning_rate': 6.303724928366763e-05, 'epoch': 0.0}
{'loss': 26.4608, 'grad_norm': 2763066.25, 'learning_rate': 6.494746895893028e-05, 'epoch': 0.0}
{'loss': 26.9769, 'grad_norm': 8975734.0, 'learning_rate': 6.685768863419294e-05, 'epoch': 0.0}
{'loss': 25.4546, 'grad_norm': 2563168.25, 'learning_rate': 6.876790830945559e-05, 'epoch': 0.0}
{'loss': 25.5302, 'grad_norm': 42713888.0, 'learning_rate': 7.067812798471824e-05, 'epoch': 0.0}
{'loss': 26.3432, 'grad_norm': 12019735.0, 'learning_rate': 7.25883476599809e-05, 'epoch': 0.0}
{'loss': 27.0077, 'grad_norm': 13306478.0, 'learning_rate': 7.449856733524355e-05, 'epoch': 0.0}
{'loss': 25.578, 'grad_norm': 17601074.0, 'learning_rate': 7.640878701050622e-05, 'epoch': 0.0}
{'loss': 25.951, 'grad_norm': 26700530.0, 'learning_rate': 7.831900668576888e-05, 'epoch': 0.0}
{'loss': 25.6627, 'grad_norm': 7897409.0, 'learning_rate': 8.022922636103153e-05, 'epoch': 0.0}
{'loss': 25.3846, 'grad_norm': 79378808.0, 'learning_rate': 8.213944603629417e-05, 'epoch': 0.0}
