  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.4479, 'grad_norm': 4877101.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 26.936, 'grad_norm': 8202020.5, 'learning_rate': 9.551098376313277e-09, 'epoch': 0.0}
{'loss': 26.6703, 'grad_norm': 145952400.0, 'learning_rate': 1.9102196752626553e-08, 'epoch': 0.0}
{'loss': 26.995, 'grad_norm': 11514975.0, 'learning_rate': 2.865329512893983e-08, 'epoch': 0.0}
{'loss': 26.511, 'grad_norm': 6360909.5, 'learning_rate': 3.820439350525311e-08, 'epoch': 0.0}
{'loss': 26.7604, 'grad_norm': 22156732.0, 'learning_rate': 4.775549188156639e-08, 'epoch': 0.0}
{'loss': 26.8482, 'grad_norm': 6879947.0, 'learning_rate': 5.730659025787966e-08, 'epoch': 0.0}
{'loss': 26.8358, 'grad_norm': 3112724.0, 'learning_rate': 6.685768863419294e-08, 'epoch': 0.0}
{'loss': 26.788, 'grad_norm': 10943651.0, 'learning_rate': 7.640878701050621e-08, 'epoch': 0.0}
{'loss': 26.4261, 'grad_norm': 4170377.0, 'learning_rate': 8.595988538681949e-08, 'epoch': 0.0}
{'loss': 26.2679, 'grad_norm': 9079942.0, 'learning_rate': 9.551098376313278e-08, 'epoch': 0.0}
{'loss': 25.9862, 'grad_norm': 1979543.125, 'learning_rate': 1.0506208213944604e-07, 'epoch': 0.0}
{'loss': 27.4787, 'grad_norm': 7914782.0, 'learning_rate': 1.1461318051575931e-07, 'epoch': 0.0}
{'loss': 27.3748, 'grad_norm': 5598092.5, 'learning_rate': 1.241642788920726e-07, 'epoch': 0.0}
{'loss': 26.7731, 'grad_norm': 32082274.0, 'learning_rate': 1.3371537726838588e-07, 'epoch': 0.0}
{'loss': 27.1742, 'grad_norm': 4703556.0, 'learning_rate': 1.4326647564469915e-07, 'epoch': 0.0}
{'loss': 25.9036, 'grad_norm': 27411440.0, 'learning_rate': 1.5281757402101243e-07, 'epoch': 0.0}
{'loss': 27.1324, 'grad_norm': 19708916.0, 'learning_rate': 1.623686723973257e-07, 'epoch': 0.0}
{'loss': 27.4726, 'grad_norm': 4078945.25, 'learning_rate': 1.7191977077363898e-07, 'epoch': 0.0}
{'loss': 26.7089, 'grad_norm': 9250590.0, 'learning_rate': 1.8147086914995228e-07, 'epoch': 0.0}
{'loss': 26.2294, 'grad_norm': 6419949.5, 'learning_rate': 1.9102196752626555e-07, 'epoch': 0.0}
{'loss': 27.1849, 'grad_norm': 16732751.0, 'learning_rate': 2.0057306590257883e-07, 'epoch': 0.0}
{'loss': 26.8365, 'grad_norm': 14413020.0, 'learning_rate': 2.1012416427889208e-07, 'epoch': 0.0}
{'loss': 27.1676, 'grad_norm': 11214876.0, 'learning_rate': 2.1967526265520535e-07, 'epoch': 0.0}
{'loss': 26.7791, 'grad_norm': 96216824.0, 'learning_rate': 2.2922636103151863e-07, 'epoch': 0.0}
{'loss': 26.2793, 'grad_norm': 5340139.5, 'learning_rate': 2.3877745940783193e-07, 'epoch': 0.0}
{'loss': 26.353, 'grad_norm': 93308728.0, 'learning_rate': 2.483285577841452e-07, 'epoch': 0.0}
{'loss': 26.2644, 'grad_norm': 5656120.5, 'learning_rate': 2.578796561604585e-07, 'epoch': 0.0}
{'loss': 26.4077, 'grad_norm': 6619058.5, 'learning_rate': 2.6743075453677176e-07, 'epoch': 0.0}
{'loss': 26.1709, 'grad_norm': 145085056.0, 'learning_rate': 2.7698185291308503e-07, 'epoch': 0.0}
{'loss': 26.198, 'grad_norm': 5142923.5, 'learning_rate': 2.865329512893983e-07, 'epoch': 0.0}
{'loss': 26.3999, 'grad_norm': 2717197.25, 'learning_rate': 2.960840496657116e-07, 'epoch': 0.0}
{'loss': 26.551, 'grad_norm': 4281944.5, 'learning_rate': 3.0563514804202486e-07, 'epoch': 0.0}
{'loss': 26.4015, 'grad_norm': 8738710.0, 'learning_rate': 3.1518624641833813e-07, 'epoch': 0.0}
{'loss': 26.508, 'grad_norm': 8825256.0, 'learning_rate': 3.247373447946514e-07, 'epoch': 0.0}
{'loss': 26.7903, 'grad_norm': 10397829.0, 'learning_rate': 3.342884431709647e-07, 'epoch': 0.0}
{'loss': 26.6565, 'grad_norm': 6620430.0, 'learning_rate': 3.4383954154727796e-07, 'epoch': 0.0}
{'loss': 26.5405, 'grad_norm': 4616874.5, 'learning_rate': 3.5339063992359123e-07, 'epoch': 0.0}
{'loss': 26.7307, 'grad_norm': 94231752.0, 'learning_rate': 3.6294173829990456e-07, 'epoch': 0.0}
{'loss': 27.0131, 'grad_norm': 11105055.0, 'learning_rate': 3.7249283667621783e-07, 'epoch': 0.0}
{'loss': 26.9999, 'grad_norm': 14704066.0, 'learning_rate': 3.820439350525311e-07, 'epoch': 0.0}
{'loss': 26.3912, 'grad_norm': 5798108.5, 'learning_rate': 3.915950334288444e-07, 'epoch': 0.0}
{'loss': 26.8695, 'grad_norm': 3630164.25, 'learning_rate': 4.0114613180515766e-07, 'epoch': 0.0}
{'loss': 25.9182, 'grad_norm': 3341532.75, 'learning_rate': 4.106972301814709e-07, 'epoch': 0.0}
{'loss': 26.9332, 'grad_norm': 46759880.0, 'learning_rate': 4.2024832855778416e-07, 'epoch': 0.0}
{'loss': 25.8779, 'grad_norm': 8339804.5, 'learning_rate': 4.2979942693409743e-07, 'epoch': 0.0}
{'loss': 27.3388, 'grad_norm': 21877804.0, 'learning_rate': 4.393505253104107e-07, 'epoch': 0.0}
{'loss': 27.5638, 'grad_norm': 6935635.0, 'learning_rate': 4.48901623686724e-07, 'epoch': 0.0}
{'loss': 26.9768, 'grad_norm': 5566443.0, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 26.7973, 'grad_norm': 242988672.0, 'learning_rate': 4.6800382043935053e-07, 'epoch': 0.0}
{'loss': 26.6022, 'grad_norm': 6192912.0, 'learning_rate': 4.775549188156639e-07, 'epoch': 0.0}
{'loss': 26.2783, 'grad_norm': 6115452.0, 'learning_rate': 4.871060171919771e-07, 'epoch': 0.0}
{'loss': 25.9834, 'grad_norm': 33657120.0, 'learning_rate': 4.966571155682904e-07, 'epoch': 0.0}
{'loss': 26.9059, 'grad_norm': 75812712.0, 'learning_rate': 5.062082139446037e-07, 'epoch': 0.0}
{'loss': 27.0965, 'grad_norm': 15724231.0, 'learning_rate': 5.15759312320917e-07, 'epoch': 0.0}
{'loss': 27.1157, 'grad_norm': 4229122.5, 'learning_rate': 5.253104106972302e-07, 'epoch': 0.0}
{'loss': 27.1898, 'grad_norm': 45037688.0, 'learning_rate': 5.348615090735435e-07, 'epoch': 0.0}
{'loss': 27.2282, 'grad_norm': 8842882.0, 'learning_rate': 5.444126074498568e-07, 'epoch': 0.0}
{'loss': 27.2848, 'grad_norm': 3943365.75, 'learning_rate': 5.539637058261701e-07, 'epoch': 0.0}
{'loss': 26.6247, 'grad_norm': 7244502.0, 'learning_rate': 5.635148042024833e-07, 'epoch': 0.0}
{'loss': 26.6796, 'grad_norm': 12705995.0, 'learning_rate': 5.730659025787966e-07, 'epoch': 0.0}
{'loss': 26.5078, 'grad_norm': 8177575.5, 'learning_rate': 5.826170009551099e-07, 'epoch': 0.0}
{'loss': 26.3554, 'grad_norm': 3536001.75, 'learning_rate': 5.921680993314232e-07, 'epoch': 0.0}
{'loss': 26.426, 'grad_norm': 17798110.0, 'learning_rate': 6.017191977077364e-07, 'epoch': 0.0}
{'loss': 26.1898, 'grad_norm': 9741405.0, 'learning_rate': 6.112702960840497e-07, 'epoch': 0.0}
{'loss': 27.4621, 'grad_norm': 6189851.5, 'learning_rate': 6.20821394460363e-07, 'epoch': 0.0}
{'loss': 26.4724, 'grad_norm': 10429579.0, 'learning_rate': 6.303724928366763e-07, 'epoch': 0.0}
{'loss': 27.3191, 'grad_norm': 39556368.0, 'learning_rate': 6.399235912129896e-07, 'epoch': 0.0}
{'loss': 27.0485, 'grad_norm': 5441628.5, 'learning_rate': 6.494746895893028e-07, 'epoch': 0.0}
{'loss': 27.4528, 'grad_norm': 2845489.25, 'learning_rate': 6.59025787965616e-07, 'epoch': 0.0}
{'loss': 26.7034, 'grad_norm': 39786956.0, 'learning_rate': 6.685768863419294e-07, 'epoch': 0.0}
{'loss': 26.6496, 'grad_norm': 1818444.375, 'learning_rate': 6.781279847182426e-07, 'epoch': 0.0}
{'loss': 27.3843, 'grad_norm': 16658593.0, 'learning_rate': 6.876790830945559e-07, 'epoch': 0.0}
{'loss': 26.4065, 'grad_norm': 4044141.25, 'learning_rate': 6.972301814708692e-07, 'epoch': 0.0}
{'loss': 25.3246, 'grad_norm': 2921390.25, 'learning_rate': 7.067812798471825e-07, 'epoch': 0.0}
{'loss': 26.9759, 'grad_norm': 7051534.0, 'learning_rate': 7.163323782234957e-07, 'epoch': 0.0}
{'loss': 27.2557, 'grad_norm': 24615888.0, 'learning_rate': 7.258834765998091e-07, 'epoch': 0.0}
{'loss': 26.5665, 'grad_norm': 3510935.75, 'learning_rate': 7.354345749761223e-07, 'epoch': 0.0}
{'loss': 27.1679, 'grad_norm': 15643646.0, 'learning_rate': 7.449856733524357e-07, 'epoch': 0.0}
{'loss': 26.4502, 'grad_norm': 2916578.25, 'learning_rate': 7.545367717287488e-07, 'epoch': 0.0}
{'loss': 26.535, 'grad_norm': 7029134.0, 'learning_rate': 7.640878701050622e-07, 'epoch': 0.0}
{'loss': 27.2325, 'grad_norm': 18889612.0, 'learning_rate': 7.736389684813754e-07, 'epoch': 0.0}
{'loss': 26.9304, 'grad_norm': 6415678.5, 'learning_rate': 7.831900668576888e-07, 'epoch': 0.0}
{'loss': 26.2803, 'grad_norm': 13566280.0, 'learning_rate': 7.927411652340019e-07, 'epoch': 0.0}
{'loss': 26.6634, 'grad_norm': 19830002.0, 'learning_rate': 8.022922636103153e-07, 'epoch': 0.0}
{'loss': 26.7347, 'grad_norm': 4824256.0, 'learning_rate': 8.118433619866285e-07, 'epoch': 0.0}
{'loss': 26.8833, 'grad_norm': 14629199.0, 'learning_rate': 8.213944603629418e-07, 'epoch': 0.0}
{'loss': 26.4231, 'grad_norm': 9065098.0, 'learning_rate': 8.30945558739255e-07, 'epoch': 0.0}
{'loss': 26.4998, 'grad_norm': 12590838.0, 'learning_rate': 8.404966571155683e-07, 'epoch': 0.0}
{'loss': 26.8452, 'grad_norm': 5035314.0, 'learning_rate': 8.500477554918817e-07, 'epoch': 0.0}
{'loss': 27.2371, 'grad_norm': 23417896.0, 'learning_rate': 8.595988538681949e-07, 'epoch': 0.0}
{'loss': 26.5057, 'grad_norm': 16345871.0, 'learning_rate': 8.691499522445082e-07, 'epoch': 0.0}
{'loss': 26.7654, 'grad_norm': 72042192.0, 'learning_rate': 8.787010506208214e-07, 'epoch': 0.0}
{'loss': 27.0393, 'grad_norm': 11046413.0, 'learning_rate': 8.882521489971348e-07, 'epoch': 0.0}
{'loss': 26.0307, 'grad_norm': 13857994.0, 'learning_rate': 8.97803247373448e-07, 'epoch': 0.0}
{'loss': 26.6818, 'grad_norm': 29160526.0, 'learning_rate': 9.073543457497613e-07, 'epoch': 0.0}
{'loss': 27.8151, 'grad_norm': 13262591.0, 'learning_rate': 9.169054441260745e-07, 'epoch': 0.0}
{'loss': 27.0379, 'grad_norm': 17312188.0, 'learning_rate': 9.264565425023879e-07, 'epoch': 0.0}
{'loss': 26.9981, 'grad_norm': 17712070.0, 'learning_rate': 9.360076408787011e-07, 'epoch': 0.0}
{'loss': 26.6419, 'grad_norm': 8188909.0, 'learning_rate': 9.455587392550144e-07, 'epoch': 0.0}
{'loss': 26.3665, 'grad_norm': 7687123.0, 'learning_rate': 9.551098376313277e-07, 'epoch': 0.0}
{'loss': 26.7616, 'grad_norm': 38677068.0, 'learning_rate': 9.64660936007641e-07, 'epoch': 0.0}
{'loss': 27.1534, 'grad_norm': 11999390.0, 'learning_rate': 9.742120343839543e-07, 'epoch': 0.0}
{'loss': 26.222, 'grad_norm': 6470529.0, 'learning_rate': 9.837631327602674e-07, 'epoch': 0.0}
{'loss': 26.8765, 'grad_norm': 43696316.0, 'learning_rate': 9.933142311365808e-07, 'epoch': 0.0}
{'loss': 27.5223, 'grad_norm': 4670631.5, 'learning_rate': 1.002865329512894e-06, 'epoch': 0.0}
{'loss': 26.2896, 'grad_norm': 4731244.5, 'learning_rate': 1.0124164278892074e-06, 'epoch': 0.0}
{'loss': 26.1441, 'grad_norm': 2545614.75, 'learning_rate': 1.0219675262655205e-06, 'epoch': 0.0}
{'loss': 26.6989, 'grad_norm': 1718805.0, 'learning_rate': 1.031518624641834e-06, 'epoch': 0.0}
{'loss': 26.9035, 'grad_norm': 2559912.25, 'learning_rate': 1.041069723018147e-06, 'epoch': 0.0}
{'loss': 26.2174, 'grad_norm': 3812886.5, 'learning_rate': 1.0506208213944605e-06, 'epoch': 0.0}
{'loss': 26.6701, 'grad_norm': 30508046.0, 'learning_rate': 1.0601719197707736e-06, 'epoch': 0.0}
{'loss': 26.6475, 'grad_norm': 18769092.0, 'learning_rate': 1.069723018147087e-06, 'epoch': 0.0}
{'loss': 27.75, 'grad_norm': 3702200.0, 'learning_rate': 1.0792741165234002e-06, 'epoch': 0.0}
{'loss': 26.516, 'grad_norm': 6043374.0, 'learning_rate': 1.0888252148997136e-06, 'epoch': 0.0}
{'loss': 26.4503, 'grad_norm': 4984494.0, 'learning_rate': 1.0983763132760267e-06, 'epoch': 0.0}
{'loss': 27.0531, 'grad_norm': 3621086.75, 'learning_rate': 1.1079274116523401e-06, 'epoch': 0.0}
{'loss': 26.6546, 'grad_norm': 15404415.0, 'learning_rate': 1.1174785100286533e-06, 'epoch': 0.0}
{'loss': 27.6133, 'grad_norm': 2794688.75, 'learning_rate': 1.1270296084049667e-06, 'epoch': 0.0}
{'loss': 26.2657, 'grad_norm': 8752683.0, 'learning_rate': 1.1365807067812798e-06, 'epoch': 0.0}
{'loss': 26.9385, 'grad_norm': 5473555.5, 'learning_rate': 1.1461318051575932e-06, 'epoch': 0.0}
{'loss': 26.7247, 'grad_norm': 7814152.0, 'learning_rate': 1.1556829035339064e-06, 'epoch': 0.0}
{'loss': 26.9241, 'grad_norm': 4758640.5, 'learning_rate': 1.1652340019102198e-06, 'epoch': 0.0}
{'loss': 26.8907, 'grad_norm': 5501419.5, 'learning_rate': 1.1747851002865332e-06, 'epoch': 0.0}
{'loss': 26.2232, 'grad_norm': 12528968.0, 'learning_rate': 1.1843361986628463e-06, 'epoch': 0.0}
{'loss': 27.2112, 'grad_norm': 4639461.0, 'learning_rate': 1.1938872970391597e-06, 'epoch': 0.0}
{'loss': 27.3508, 'grad_norm': 3999665.5, 'learning_rate': 1.2034383954154729e-06, 'epoch': 0.0}
{'loss': 26.9294, 'grad_norm': 100394560.0, 'learning_rate': 1.2129894937917863e-06, 'epoch': 0.0}
{'loss': 26.6428, 'grad_norm': 5435564.5, 'learning_rate': 1.2225405921680994e-06, 'epoch': 0.0}
{'loss': 27.6023, 'grad_norm': 8959281.0, 'learning_rate': 1.2320916905444128e-06, 'epoch': 0.0}
{'loss': 26.2272, 'grad_norm': 4412053.5, 'learning_rate': 1.241642788920726e-06, 'epoch': 0.0}
{'loss': 26.693, 'grad_norm': 4538606.0, 'learning_rate': 1.2511938872970391e-06, 'epoch': 0.0}
{'loss': 27.2861, 'grad_norm': 31687402.0, 'learning_rate': 1.2607449856733525e-06, 'epoch': 0.0}
{'loss': 26.6741, 'grad_norm': 3704993.5, 'learning_rate': 1.270296084049666e-06, 'epoch': 0.0}
{'loss': 26.1546, 'grad_norm': 9214637.0, 'learning_rate': 1.2798471824259793e-06, 'epoch': 0.0}
{'loss': 26.6636, 'grad_norm': 4272305.0, 'learning_rate': 1.2893982808022922e-06, 'epoch': 0.0}
{'loss': 26.6736, 'grad_norm': 6380281.5, 'learning_rate': 1.2989493791786056e-06, 'epoch': 0.0}
{'loss': 27.1176, 'grad_norm': 118335960.0, 'learning_rate': 1.308500477554919e-06, 'epoch': 0.0}
{'loss': 26.5607, 'grad_norm': 23596222.0, 'learning_rate': 1.318051575931232e-06, 'epoch': 0.0}
{'loss': 27.3128, 'grad_norm': 81117520.0, 'learning_rate': 1.3276026743075453e-06, 'epoch': 0.0}
{'loss': 26.5247, 'grad_norm': 30732738.0, 'learning_rate': 1.3371537726838587e-06, 'epoch': 0.0}
{'loss': 26.6137, 'grad_norm': 9036204.0, 'learning_rate': 1.346704871060172e-06, 'epoch': 0.0}
{'loss': 26.395, 'grad_norm': 43457248.0, 'learning_rate': 1.3562559694364853e-06, 'epoch': 0.0}
{'loss': 26.1442, 'grad_norm': 7570853.5, 'learning_rate': 1.3658070678127984e-06, 'epoch': 0.0}
{'loss': 27.1853, 'grad_norm': 3354037.25, 'learning_rate': 1.3753581661891118e-06, 'epoch': 0.0}
{'loss': 26.7318, 'grad_norm': 5880150.5, 'learning_rate': 1.3849092645654252e-06, 'epoch': 0.0}
{'loss': 26.2255, 'grad_norm': 14786111.0, 'learning_rate': 1.3944603629417384e-06, 'epoch': 0.0}
{'loss': 26.7902, 'grad_norm': 5285176.5, 'learning_rate': 1.4040114613180518e-06, 'epoch': 0.0}
{'loss': 27.2069, 'grad_norm': 4223466.0, 'learning_rate': 1.413562559694365e-06, 'epoch': 0.0}
{'loss': 26.4481, 'grad_norm': 5504576.5, 'learning_rate': 1.4231136580706783e-06, 'epoch': 0.0}
{'loss': 26.5282, 'grad_norm': 5707463.5, 'learning_rate': 1.4326647564469915e-06, 'epoch': 0.0}
{'loss': 26.2297, 'grad_norm': 3939307.5, 'learning_rate': 1.4422158548233049e-06, 'epoch': 0.0}
{'loss': 26.5218, 'grad_norm': 7359162.0, 'learning_rate': 1.4517669531996182e-06, 'epoch': 0.0}
{'loss': 26.2575, 'grad_norm': 6410200.5, 'learning_rate': 1.4613180515759314e-06, 'epoch': 0.0}
{'loss': 27.2184, 'grad_norm': 3882577.0, 'learning_rate': 1.4708691499522446e-06, 'epoch': 0.0}
{'loss': 26.5012, 'grad_norm': 10363612.0, 'learning_rate': 1.480420248328558e-06, 'epoch': 0.0}
{'loss': 27.7639, 'grad_norm': 3682650.75, 'learning_rate': 1.4899713467048713e-06, 'epoch': 0.0}
{'loss': 26.3598, 'grad_norm': 4037212.5, 'learning_rate': 1.4995224450811843e-06, 'epoch': 0.0}
{'loss': 27.1952, 'grad_norm': 15050313.0, 'learning_rate': 1.5090735434574977e-06, 'epoch': 0.0}
{'loss': 27.503, 'grad_norm': 6176446.0, 'learning_rate': 1.518624641833811e-06, 'epoch': 0.0}
{'loss': 26.466, 'grad_norm': 11539301.0, 'learning_rate': 1.5281757402101244e-06, 'epoch': 0.0}
{'loss': 26.3528, 'grad_norm': 7129147.5, 'learning_rate': 1.5377268385864374e-06, 'epoch': 0.0}
{'loss': 26.7779, 'grad_norm': 3608956.75, 'learning_rate': 1.5472779369627508e-06, 'epoch': 0.0}
{'loss': 27.0718, 'grad_norm': 5990403.0, 'learning_rate': 1.5568290353390642e-06, 'epoch': 0.0}
{'loss': 26.7493, 'grad_norm': 8909293.0, 'learning_rate': 1.5663801337153775e-06, 'epoch': 0.0}
{'loss': 26.7852, 'grad_norm': 11136436.0, 'learning_rate': 1.5759312320916905e-06, 'epoch': 0.0}
