  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.1209, 'grad_norm': 9165829.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.6685, 'grad_norm': 12682135.0, 'learning_rate': 9.551098376313277e-09, 'epoch': 0.0}
{'loss': 27.619, 'grad_norm': 10103201.0, 'learning_rate': 1.9102196752626553e-08, 'epoch': 0.0}
{'loss': 27.1591, 'grad_norm': 33173394.0, 'learning_rate': 2.865329512893983e-08, 'epoch': 0.0}
{'loss': 27.7351, 'grad_norm': 32042452.0, 'learning_rate': 3.820439350525311e-08, 'epoch': 0.0}
{'loss': 27.5813, 'grad_norm': 21677532.0, 'learning_rate': 4.775549188156639e-08, 'epoch': 0.0}
{'loss': 27.6039, 'grad_norm': 5873006.5, 'learning_rate': 5.730659025787966e-08, 'epoch': 0.0}
{'loss': 26.8139, 'grad_norm': 73291200.0, 'learning_rate': 6.685768863419294e-08, 'epoch': 0.0}
{'loss': 27.0862, 'grad_norm': 16053743.0, 'learning_rate': 7.640878701050621e-08, 'epoch': 0.0}
{'loss': 27.1344, 'grad_norm': 11515447.0, 'learning_rate': 8.595988538681949e-08, 'epoch': 0.0}
{'loss': 26.7155, 'grad_norm': 11749661.0, 'learning_rate': 9.551098376313278e-08, 'epoch': 0.0}
{'loss': 27.3653, 'grad_norm': 7195239.5, 'learning_rate': 1.0506208213944604e-07, 'epoch': 0.0}
{'loss': 26.8511, 'grad_norm': 4434567.5, 'learning_rate': 1.1461318051575931e-07, 'epoch': 0.0}
{'loss': 26.673, 'grad_norm': 9522832.0, 'learning_rate': 1.241642788920726e-07, 'epoch': 0.0}
{'loss': 27.5013, 'grad_norm': 29625466.0, 'learning_rate': 1.3371537726838588e-07, 'epoch': 0.0}
{'loss': 28.2005, 'grad_norm': 7736936.0, 'learning_rate': 1.4326647564469915e-07, 'epoch': 0.0}
{'loss': 27.2695, 'grad_norm': 13552958.0, 'learning_rate': 1.5281757402101243e-07, 'epoch': 0.0}
{'loss': 27.517, 'grad_norm': 11392754.0, 'learning_rate': 1.623686723973257e-07, 'epoch': 0.0}
{'loss': 27.0084, 'grad_norm': 10789429.0, 'learning_rate': 1.7191977077363898e-07, 'epoch': 0.0}
{'loss': 27.0801, 'grad_norm': 7089591.0, 'learning_rate': 1.8147086914995228e-07, 'epoch': 0.0}
{'loss': 28.2167, 'grad_norm': 7651748.0, 'learning_rate': 1.9102196752626555e-07, 'epoch': 0.0}
{'loss': 27.7417, 'grad_norm': 8188699.5, 'learning_rate': 2.0057306590257883e-07, 'epoch': 0.0}
{'loss': 28.0667, 'grad_norm': 33494398.0, 'learning_rate': 2.1012416427889208e-07, 'epoch': 0.0}
{'loss': 27.3713, 'grad_norm': 9576999.0, 'learning_rate': 2.1967526265520535e-07, 'epoch': 0.0}
{'loss': 27.3546, 'grad_norm': 12205150.0, 'learning_rate': 2.2922636103151863e-07, 'epoch': 0.0}
{'loss': 27.44, 'grad_norm': 24856968.0, 'learning_rate': 2.3877745940783193e-07, 'epoch': 0.0}
{'loss': 27.5797, 'grad_norm': 7582103.0, 'learning_rate': 2.483285577841452e-07, 'epoch': 0.0}
{'loss': 26.4858, 'grad_norm': 38387256.0, 'learning_rate': 2.578796561604585e-07, 'epoch': 0.0}
{'loss': 27.5528, 'grad_norm': 22768446.0, 'learning_rate': 2.6743075453677176e-07, 'epoch': 0.0}
{'loss': 26.9432, 'grad_norm': 6118580.0, 'learning_rate': 2.7698185291308503e-07, 'epoch': 0.0}
{'loss': 26.9146, 'grad_norm': 8781702.0, 'learning_rate': 2.865329512893983e-07, 'epoch': 0.0}
{'loss': 27.5376, 'grad_norm': 28817348.0, 'learning_rate': 2.960840496657116e-07, 'epoch': 0.0}
{'loss': 26.9814, 'grad_norm': 11746971.0, 'learning_rate': 3.0563514804202486e-07, 'epoch': 0.0}
{'loss': 27.8632, 'grad_norm': 10658915.0, 'learning_rate': 3.1518624641833813e-07, 'epoch': 0.0}
{'loss': 27.535, 'grad_norm': 8006385.0, 'learning_rate': 3.247373447946514e-07, 'epoch': 0.0}
{'loss': 27.5657, 'grad_norm': 34910148.0, 'learning_rate': 3.342884431709647e-07, 'epoch': 0.0}
{'loss': 27.7379, 'grad_norm': 35576080.0, 'learning_rate': 3.4383954154727796e-07, 'epoch': 0.0}
{'loss': 27.9306, 'grad_norm': 14392684.0, 'learning_rate': 3.5339063992359123e-07, 'epoch': 0.0}
{'loss': 27.703, 'grad_norm': 24459724.0, 'learning_rate': 3.6294173829990456e-07, 'epoch': 0.0}
{'loss': 27.7992, 'grad_norm': 68538248.0, 'learning_rate': 3.7249283667621783e-07, 'epoch': 0.0}
{'loss': 27.3895, 'grad_norm': 23953792.0, 'learning_rate': 3.820439350525311e-07, 'epoch': 0.0}
{'loss': 27.1132, 'grad_norm': 13688434.0, 'learning_rate': 3.915950334288444e-07, 'epoch': 0.0}
{'loss': 26.9752, 'grad_norm': 9092171.0, 'learning_rate': 4.0114613180515766e-07, 'epoch': 0.0}
{'loss': 26.83, 'grad_norm': 19254296.0, 'learning_rate': 4.106972301814709e-07, 'epoch': 0.0}
{'loss': 27.0061, 'grad_norm': 33658916.0, 'learning_rate': 4.2024832855778416e-07, 'epoch': 0.0}
{'loss': 26.8352, 'grad_norm': 5484851.5, 'learning_rate': 4.2979942693409743e-07, 'epoch': 0.0}
{'loss': 26.6042, 'grad_norm': 10121475.0, 'learning_rate': 4.393505253104107e-07, 'epoch': 0.0}
{'loss': 27.4263, 'grad_norm': 46111808.0, 'learning_rate': 4.48901623686724e-07, 'epoch': 0.0}
{'loss': 27.6295, 'grad_norm': 2790901.5, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 27.3488, 'grad_norm': 19632136.0, 'learning_rate': 4.6800382043935053e-07, 'epoch': 0.0}
{'loss': 27.7159, 'grad_norm': 37697512.0, 'learning_rate': 4.775549188156639e-07, 'epoch': 0.0}
{'loss': 27.8886, 'grad_norm': 14603362.0, 'learning_rate': 4.871060171919771e-07, 'epoch': 0.0}
{'loss': 26.5779, 'grad_norm': 26428044.0, 'learning_rate': 4.966571155682904e-07, 'epoch': 0.0}
{'loss': 27.1946, 'grad_norm': 40784800.0, 'learning_rate': 5.062082139446037e-07, 'epoch': 0.0}
{'loss': 26.3851, 'grad_norm': 26528736.0, 'learning_rate': 5.15759312320917e-07, 'epoch': 0.0}
{'loss': 28.0681, 'grad_norm': 8861346.0, 'learning_rate': 5.253104106972302e-07, 'epoch': 0.0}
{'loss': 27.3441, 'grad_norm': 8635612.0, 'learning_rate': 5.348615090735435e-07, 'epoch': 0.0}
{'loss': 27.0142, 'grad_norm': 4991890.0, 'learning_rate': 5.444126074498568e-07, 'epoch': 0.0}
{'loss': 27.1591, 'grad_norm': 19704002.0, 'learning_rate': 5.539637058261701e-07, 'epoch': 0.0}
{'loss': 27.2683, 'grad_norm': 5786082.5, 'learning_rate': 5.635148042024833e-07, 'epoch': 0.0}
{'loss': 26.7618, 'grad_norm': 15933955.0, 'learning_rate': 5.730659025787966e-07, 'epoch': 0.0}
