  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.2108, 'grad_norm': 41016980.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.0585, 'grad_norm': 3188344.75, 'learning_rate': 9.551098376313277e-09, 'epoch': 0.0}
{'loss': 26.5456, 'grad_norm': 245030960.0, 'learning_rate': 1.9102196752626553e-08, 'epoch': 0.0}
{'loss': 25.5394, 'grad_norm': 13843809.0, 'learning_rate': 2.865329512893983e-08, 'epoch': 0.0}
{'loss': 27.441, 'grad_norm': 378427264.0, 'learning_rate': 3.820439350525311e-08, 'epoch': 0.0}
{'loss': 26.9258, 'grad_norm': 9438051.0, 'learning_rate': 4.775549188156639e-08, 'epoch': 0.0}
{'loss': 26.6163, 'grad_norm': 25293766.0, 'learning_rate': 5.730659025787966e-08, 'epoch': 0.0}
{'loss': 26.5503, 'grad_norm': 9331450.0, 'learning_rate': 6.685768863419294e-08, 'epoch': 0.0}
{'loss': 27.2284, 'grad_norm': 5415173.0, 'learning_rate': 7.640878701050621e-08, 'epoch': 0.0}
{'loss': 26.8634, 'grad_norm': 20614124.0, 'learning_rate': 8.595988538681949e-08, 'epoch': 0.0}
{'loss': 26.6679, 'grad_norm': 10274185.0, 'learning_rate': 9.551098376313278e-08, 'epoch': 0.0}
{'loss': 26.1924, 'grad_norm': 19244308.0, 'learning_rate': 1.0506208213944604e-07, 'epoch': 0.0}
{'loss': 27.6174, 'grad_norm': 40465116.0, 'learning_rate': 1.1461318051575931e-07, 'epoch': 0.0}
{'loss': 26.8334, 'grad_norm': 12653286.0, 'learning_rate': 1.241642788920726e-07, 'epoch': 0.0}
{'loss': 26.9138, 'grad_norm': 8140004.5, 'learning_rate': 1.3371537726838588e-07, 'epoch': 0.0}
{'loss': 26.765, 'grad_norm': 9916122.0, 'learning_rate': 1.4326647564469915e-07, 'epoch': 0.0}
