  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 20.1, 'grad_norm': 2016169.0, 'learning_rate': 9.480541368781852e-06, 'epoch': 0.17}
{'loss': 20.5404, 'grad_norm': 5280272.0, 'learning_rate': 9.480335304076428e-06, 'epoch': 0.17}
{'loss': 19.3148, 'grad_norm': 3333197.75, 'learning_rate': 9.48012920074745e-06, 'epoch': 0.17}
{'loss': 20.4461, 'grad_norm': 5635756.0, 'learning_rate': 9.479923058796696e-06, 'epoch': 0.17}
{'loss': 20.5957, 'grad_norm': 10596148.0, 'learning_rate': 9.479716878225944e-06, 'epoch': 0.17}
{'loss': 19.9647, 'grad_norm': 9390241.0, 'learning_rate': 9.479510659036968e-06, 'epoch': 0.17}
{'loss': 19.7974, 'grad_norm': 2907112.5, 'learning_rate': 9.479304401231547e-06, 'epoch': 0.17}
{'loss': 20.6403, 'grad_norm': 4263484.0, 'learning_rate': 9.479098104811459e-06, 'epoch': 0.17}
{'loss': 19.6838, 'grad_norm': 11112987.0, 'learning_rate': 9.478891769778483e-06, 'epoch': 0.17}
{'loss': 19.8481, 'grad_norm': 18509664.0, 'learning_rate': 9.478685396134399e-06, 'epoch': 0.17}
{'loss': 20.8227, 'grad_norm': 4934234.5, 'learning_rate': 9.478478983880983e-06, 'epoch': 0.17}
{'loss': 20.0942, 'grad_norm': 5391391.0, 'learning_rate': 9.478272533020016e-06, 'epoch': 0.17}
{'loss': 19.9293, 'grad_norm': 54924964.0, 'learning_rate': 9.478066043553279e-06, 'epoch': 0.17}
{'loss': 20.9873, 'grad_norm': 4886626.5, 'learning_rate': 9.47785951548255e-06, 'epoch': 0.17}
{'loss': 20.7412, 'grad_norm': 21367838.0, 'learning_rate': 9.47765294880961e-06, 'epoch': 0.17}
{'loss': 19.9141, 'grad_norm': 20149880.0, 'learning_rate': 9.477446343536242e-06, 'epoch': 0.17}
{'loss': 20.3127, 'grad_norm': 5869738.0, 'learning_rate': 9.477239699664224e-06, 'epoch': 0.17}
{'loss': 19.8112, 'grad_norm': 6579268.0, 'learning_rate': 9.47703301719534e-06, 'epoch': 0.17}
{'loss': 21.0403, 'grad_norm': 5082172.0, 'learning_rate': 9.476826296131366e-06, 'epoch': 0.17}
{'loss': 20.3949, 'grad_norm': 41510344.0, 'learning_rate': 9.476619536474093e-06, 'epoch': 0.17}
{'loss': 20.41, 'grad_norm': 3878965.5, 'learning_rate': 9.476412738225296e-06, 'epoch': 0.17}
