  0%|                                                                           | 0/8720 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 110.0072, 'grad_norm': 7589621.5, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 109.9124, 'grad_norm': 8907124.0, 'learning_rate': 2.6717557251908397e-06, 'epoch': 0.0}
{'loss': 110.1646, 'grad_norm': 11950351.0, 'learning_rate': 5.343511450381679e-06, 'epoch': 0.0}
{'loss': 110.1605, 'grad_norm': 7065589.5, 'learning_rate': 8.015267175572519e-06, 'epoch': 0.0}
{'loss': 109.8095, 'grad_norm': 10769595.0, 'learning_rate': 1.0687022900763359e-05, 'epoch': 0.0}
{'loss': 109.6741, 'grad_norm': 14217799.0, 'learning_rate': 1.3358778625954198e-05, 'epoch': 0.0}
{'loss': 108.3855, 'grad_norm': 6926896.5, 'learning_rate': 1.6030534351145038e-05, 'epoch': 0.0}
{'loss': 110.4257, 'grad_norm': 10845976.0, 'learning_rate': 1.8702290076335878e-05, 'epoch': 0.0}
{'loss': 110.6814, 'grad_norm': 13185488.0, 'learning_rate': 2.1374045801526718e-05, 'epoch': 0.0}
{'loss': 110.782, 'grad_norm': 5277681.0, 'learning_rate': 2.4045801526717557e-05, 'epoch': 0.0}
{'loss': 109.4823, 'grad_norm': 31393780.0, 'learning_rate': 2.6717557251908397e-05, 'epoch': 0.0}
{'loss': 110.6953, 'grad_norm': 4604839.5, 'learning_rate': 2.9389312977099237e-05, 'epoch': 0.0}
{'loss': 109.2173, 'grad_norm': 4149363.25, 'learning_rate': 3.2061068702290076e-05, 'epoch': 0.0}
{'loss': 110.2174, 'grad_norm': 18585916.0, 'learning_rate': 3.473282442748091e-05, 'epoch': 0.0}
{'loss': 110.2424, 'grad_norm': 7443539.0, 'learning_rate': 3.7404580152671756e-05, 'epoch': 0.0}
{'loss': 110.1214, 'grad_norm': 11136393.0, 'learning_rate': 4.007633587786259e-05, 'epoch': 0.0}
{'loss': 109.7131, 'grad_norm': 4307620.5, 'learning_rate': 4.2748091603053435e-05, 'epoch': 0.0}
{'loss': 108.6886, 'grad_norm': 3847457.75, 'learning_rate': 4.541984732824427e-05, 'epoch': 0.0}
{'loss': 110.1872, 'grad_norm': 35426220.0, 'learning_rate': 4.8091603053435114e-05, 'epoch': 0.0}
{'loss': 110.5825, 'grad_norm': 10146687.0, 'learning_rate': 5.076335877862595e-05, 'epoch': 0.0}
{'loss': 109.4717, 'grad_norm': 15456968.0, 'learning_rate': 5.3435114503816794e-05, 'epoch': 0.0}
{'loss': 109.6569, 'grad_norm': 38989776.0, 'learning_rate': 5.610687022900763e-05, 'epoch': 0.0}
{'loss': 109.5555, 'grad_norm': 44734524.0, 'learning_rate': 5.877862595419847e-05, 'epoch': 0.0}
{'loss': 110.564, 'grad_norm': 6665118.5, 'learning_rate': 6.145038167938931e-05, 'epoch': 0.0}
{'loss': 108.2149, 'grad_norm': 2537185.25, 'learning_rate': 6.412213740458015e-05, 'epoch': 0.0}
{'loss': 109.9285, 'grad_norm': 29523302.0, 'learning_rate': 6.6793893129771e-05, 'epoch': 0.0}
{'loss': 108.304, 'grad_norm': 12983983.0, 'learning_rate': 6.946564885496183e-05, 'epoch': 0.0}
{'loss': 107.6598, 'grad_norm': 11835347.0, 'learning_rate': 7.213740458015267e-05, 'epoch': 0.0}
{'loss': 109.7023, 'grad_norm': 5295276.5, 'learning_rate': 7.480916030534351e-05, 'epoch': 0.0}
{'loss': 108.223, 'grad_norm': 4471755.0, 'learning_rate': 7.748091603053435e-05, 'epoch': 0.0}
{'loss': 109.3073, 'grad_norm': 9043287.0, 'learning_rate': 8.015267175572518e-05, 'epoch': 0.0}
{'loss': 108.7167, 'grad_norm': 9734828.0, 'learning_rate': 8.282442748091603e-05, 'epoch': 0.0}
{'loss': 109.3745, 'grad_norm': 7888763.0, 'learning_rate': 8.549618320610687e-05, 'epoch': 0.0}
{'loss': 108.3942, 'grad_norm': 15951544.0, 'learning_rate': 8.81679389312977e-05, 'epoch': 0.0}
{'loss': 107.1659, 'grad_norm': 6350100.5, 'learning_rate': 9.083969465648854e-05, 'epoch': 0.0}
{'loss': 109.551, 'grad_norm': 4732701.5, 'learning_rate': 9.351145038167939e-05, 'epoch': 0.0}
{'loss': 108.1643, 'grad_norm': 11694317.0, 'learning_rate': 9.618320610687023e-05, 'epoch': 0.0}
{'loss': 107.5901, 'grad_norm': 4340253.0, 'learning_rate': 9.885496183206107e-05, 'epoch': 0.0}
{'loss': 108.2792, 'grad_norm': 26883562.0, 'learning_rate': 0.0001015267175572519, 'epoch': 0.0}
{'loss': 109.9242, 'grad_norm': 3703940.5, 'learning_rate': 0.00010419847328244274, 'epoch': 0.0}
{'loss': 106.4967, 'grad_norm': 14963734.0, 'learning_rate': 0.00010687022900763359, 'epoch': 0.0}
{'loss': 107.3092, 'grad_norm': 7913076.0, 'learning_rate': 0.00010954198473282443, 'epoch': 0.0}
{'loss': 107.8712, 'grad_norm': 8672866.0, 'learning_rate': 0.00011221374045801526, 'epoch': 0.0}
{'loss': 107.0165, 'grad_norm': 8071814.5, 'learning_rate': 0.0001148854961832061, 'epoch': 0.01}
{'loss': 107.3819, 'grad_norm': 4254094.0, 'learning_rate': 0.00011755725190839695, 'epoch': 0.01}
{'loss': 106.7066, 'grad_norm': 3999419.75, 'learning_rate': 0.00012022900763358779, 'epoch': 0.01}
{'loss': 107.2566, 'grad_norm': 5721181.5, 'learning_rate': 0.00012290076335877862, 'epoch': 0.01}
{'loss': 106.0507, 'grad_norm': 19467524.0, 'learning_rate': 0.00012557251908396945, 'epoch': 0.01}
{'loss': 106.9409, 'grad_norm': 4668459.0, 'learning_rate': 0.0001282442748091603, 'epoch': 0.01}
{'loss': 106.5304, 'grad_norm': 44047076.0, 'learning_rate': 0.00013091603053435113, 'epoch': 0.01}
{'loss': 105.0873, 'grad_norm': 3906718.0, 'learning_rate': 0.000133587786259542, 'epoch': 0.01}
{'loss': 105.7726, 'grad_norm': 7952394.0, 'learning_rate': 0.00013625954198473282, 'epoch': 0.01}
{'loss': 106.4478, 'grad_norm': 5783793.0, 'learning_rate': 0.00013893129770992365, 'epoch': 0.01}
{'loss': 105.1285, 'grad_norm': 16198248.0, 'learning_rate': 0.0001416030534351145, 'epoch': 0.01}
{'loss': 104.2686, 'grad_norm': 5325269.0, 'learning_rate': 0.00014427480916030534, 'epoch': 0.01}
{'loss': 105.0083, 'grad_norm': 5217425.5, 'learning_rate': 0.00014694656488549617, 'epoch': 0.01}
{'loss': 105.4397, 'grad_norm': 97064520.0, 'learning_rate': 0.00014961832061068702, 'epoch': 0.01}
{'loss': 105.2079, 'grad_norm': 2907823.75, 'learning_rate': 0.00015229007633587785, 'epoch': 0.01}
{'loss': 105.5766, 'grad_norm': 5665208.5, 'learning_rate': 0.0001549618320610687, 'epoch': 0.01}
{'loss': 104.0966, 'grad_norm': 5689880.5, 'learning_rate': 0.00015763358778625954, 'epoch': 0.01}
{'loss': 103.7543, 'grad_norm': 3176724.25, 'learning_rate': 0.00016030534351145037, 'epoch': 0.01}
{'loss': 103.8589, 'grad_norm': 3813831.75, 'learning_rate': 0.00016297709923664122, 'epoch': 0.01}
{'loss': 103.3464, 'grad_norm': 2015373.375, 'learning_rate': 0.00016564885496183205, 'epoch': 0.01}
{'loss': 103.0215, 'grad_norm': 2647278.5, 'learning_rate': 0.0001683206106870229, 'epoch': 0.01}
{'loss': 102.5168, 'grad_norm': 7622242.5, 'learning_rate': 0.00017099236641221374, 'epoch': 0.01}
{'loss': 102.4659, 'grad_norm': 1337304.875, 'learning_rate': 0.00017366412213740457, 'epoch': 0.01}
{'loss': 102.3273, 'grad_norm': 12565636.0, 'learning_rate': 0.0001763358778625954, 'epoch': 0.01}
{'loss': 100.0701, 'grad_norm': 11049151.0, 'learning_rate': 0.00017900763358778626, 'epoch': 0.01}
{'loss': 102.9885, 'grad_norm': 1216671.5, 'learning_rate': 0.00018167938931297709, 'epoch': 0.01}
{'loss': 100.7132, 'grad_norm': 8431178.0, 'learning_rate': 0.00018435114503816794, 'epoch': 0.01}
{'loss': 100.7739, 'grad_norm': 6613100.0, 'learning_rate': 0.00018702290076335877, 'epoch': 0.01}
{'loss': 100.6161, 'grad_norm': 3609173.0, 'learning_rate': 0.00018969465648854963, 'epoch': 0.01}
{'loss': 99.7595, 'grad_norm': 8661470.0, 'learning_rate': 0.00019236641221374046, 'epoch': 0.01}
{'loss': 100.0652, 'grad_norm': 6788558.5, 'learning_rate': 0.00019503816793893131, 'epoch': 0.01}
{'loss': 99.0186, 'grad_norm': 27100366.0, 'learning_rate': 0.00019770992366412214, 'epoch': 0.01}
{'loss': 98.4858, 'grad_norm': 3944892.0, 'learning_rate': 0.00020038167938931295, 'epoch': 0.01}
{'loss': 99.5046, 'grad_norm': 30933898.0, 'learning_rate': 0.0002030534351145038, 'epoch': 0.01}
{'loss': 98.7093, 'grad_norm': 3165112.5, 'learning_rate': 0.00020572519083969466, 'epoch': 0.01}
{'loss': 98.8016, 'grad_norm': 5192469.5, 'learning_rate': 0.0002083969465648855, 'epoch': 0.01}
{'loss': 98.4078, 'grad_norm': 2503187.0, 'learning_rate': 0.00021106870229007635, 'epoch': 0.01}
{'loss': 97.4409, 'grad_norm': 2977973.75, 'learning_rate': 0.00021374045801526718, 'epoch': 0.01}
{'loss': 97.6555, 'grad_norm': 7837488.5, 'learning_rate': 0.00021641221374045803, 'epoch': 0.01}
{'loss': 96.1116, 'grad_norm': 4053249.0, 'learning_rate': 0.00021908396946564886, 'epoch': 0.01}
{'loss': 97.3773, 'grad_norm': 2197122.5, 'learning_rate': 0.00022175572519083966, 'epoch': 0.01}
{'loss': 95.4261, 'grad_norm': 4310654.5, 'learning_rate': 0.00022442748091603052, 'epoch': 0.01}
{'loss': 95.9552, 'grad_norm': 5726816.5, 'learning_rate': 0.00022709923664122135, 'epoch': 0.01}
{'loss': 96.8112, 'grad_norm': 18915416.0, 'learning_rate': 0.0002297709923664122, 'epoch': 0.01}
{'loss': 94.612, 'grad_norm': 4179293.5, 'learning_rate': 0.00023244274809160304, 'epoch': 0.01}
{'loss': 94.7248, 'grad_norm': 19902236.0, 'learning_rate': 0.0002351145038167939, 'epoch': 0.01}
{'loss': 95.6345, 'grad_norm': 1455397.0, 'learning_rate': 0.00023778625954198475, 'epoch': 0.01}
{'loss': 93.1489, 'grad_norm': 2196695.0, 'learning_rate': 0.00024045801526717558, 'epoch': 0.01}
{'loss': 94.7996, 'grad_norm': 6382134.5, 'learning_rate': 0.00024312977099236644, 'epoch': 0.01}
{'loss': 93.2256, 'grad_norm': 1640044.25, 'learning_rate': 0.00024580152671755724, 'epoch': 0.01}
{'loss': 91.4302, 'grad_norm': 5023984.0, 'learning_rate': 0.0002484732824427481, 'epoch': 0.01}
