  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.5291, 'grad_norm': 15511657.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.0814, 'grad_norm': 3815868.25, 'learning_rate': 6.685768863419293e-07, 'epoch': 0.0}
{'loss': 27.4942, 'grad_norm': 5748766.5, 'learning_rate': 1.3371537726838585e-06, 'epoch': 0.0}
{'loss': 27.3556, 'grad_norm': 15961418.0, 'learning_rate': 2.005730659025788e-06, 'epoch': 0.0}
{'loss': 26.6993, 'grad_norm': 1295978.375, 'learning_rate': 2.674307545367717e-06, 'epoch': 0.0}
{'loss': 27.2415, 'grad_norm': 12303854.0, 'learning_rate': 3.342884431709647e-06, 'epoch': 0.0}
{'loss': 26.5666, 'grad_norm': 4223707.5, 'learning_rate': 4.011461318051576e-06, 'epoch': 0.0}
{'loss': 27.4326, 'grad_norm': 3190749.0, 'learning_rate': 4.6800382043935054e-06, 'epoch': 0.0}
{'loss': 26.9273, 'grad_norm': 34400956.0, 'learning_rate': 5.348615090735434e-06, 'epoch': 0.0}
{'loss': 26.9466, 'grad_norm': 4492427.0, 'learning_rate': 6.017191977077364e-06, 'epoch': 0.0}
{'loss': 26.4314, 'grad_norm': 1300252.0, 'learning_rate': 6.685768863419294e-06, 'epoch': 0.0}
{'loss': 27.111, 'grad_norm': 972706.25, 'learning_rate': 7.354345749761222e-06, 'epoch': 0.0}
{'loss': 26.4657, 'grad_norm': 2378681.75, 'learning_rate': 8.022922636103152e-06, 'epoch': 0.0}
{'loss': 27.0908, 'grad_norm': 7547406.5, 'learning_rate': 8.69149952244508e-06, 'epoch': 0.0}
{'loss': 27.7726, 'grad_norm': 2487782.5, 'learning_rate': 9.360076408787011e-06, 'epoch': 0.0}
{'loss': 27.1863, 'grad_norm': 17769704.0, 'learning_rate': 1.0028653295128941e-05, 'epoch': 0.0}
{'loss': 27.4221, 'grad_norm': 4644498.5, 'learning_rate': 1.0697230181470868e-05, 'epoch': 0.0}
