  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.4025, 'grad_norm': 12284405.0, 'learning_rate': 6.685768863419293e-07, 'epoch': 0.0}
{'loss': 27.346, 'grad_norm': 7025932.5, 'learning_rate': 2.005730659025788e-06, 'epoch': 0.0}
{'loss': 27.5351, 'grad_norm': 38070080.0, 'learning_rate': 3.342884431709647e-06, 'epoch': 0.0}
{'loss': 26.6418, 'grad_norm': 17851930.0, 'learning_rate': 4.6800382043935054e-06, 'epoch': 0.0}
{'loss': 27.208, 'grad_norm': 7208197.0, 'learning_rate': 6.017191977077364e-06, 'epoch': 0.0}
{'loss': 27.5217, 'grad_norm': 3371074.0, 'learning_rate': 7.354345749761222e-06, 'epoch': 0.0}
{'loss': 27.9049, 'grad_norm': 10787751.0, 'learning_rate': 8.69149952244508e-06, 'epoch': 0.0}
{'loss': 27.6532, 'grad_norm': 16189676.0, 'learning_rate': 1.0028653295128941e-05, 'epoch': 0.0}
{'loss': 27.634, 'grad_norm': 9227191.0, 'learning_rate': 1.1365807067812798e-05, 'epoch': 0.0}
{'loss': 27.2188, 'grad_norm': 6615311.5, 'learning_rate': 1.2702960840496657e-05, 'epoch': 0.0}
{'loss': 26.9616, 'grad_norm': 5474139.5, 'learning_rate': 1.4040114613180516e-05, 'epoch': 0.0}
{'loss': 26.7824, 'grad_norm': 5212133.0, 'learning_rate': 1.5377268385864374e-05, 'epoch': 0.0}
{'loss': 27.6255, 'grad_norm': 42612440.0, 'learning_rate': 1.6714422158548234e-05, 'epoch': 0.0}
{'loss': 27.5184, 'grad_norm': 4895654.0, 'learning_rate': 1.805157593123209e-05, 'epoch': 0.0}
{'loss': 26.7562, 'grad_norm': 36602592.0, 'learning_rate': 1.9388729703915952e-05, 'epoch': 0.0}
{'loss': 26.6486, 'grad_norm': 13365655.0, 'learning_rate': 2.072588347659981e-05, 'epoch': 0.0}
{'loss': 26.9255, 'grad_norm': 17263378.0, 'learning_rate': 2.2063037249283667e-05, 'epoch': 0.0}
{'loss': 27.547, 'grad_norm': 6097636.0, 'learning_rate': 2.3400191021967527e-05, 'epoch': 0.0}
{'loss': 28.2054, 'grad_norm': 15708088.0, 'learning_rate': 2.4737344794651384e-05, 'epoch': 0.0}
{'loss': 27.179, 'grad_norm': 4931902.5, 'learning_rate': 2.6074498567335245e-05, 'epoch': 0.0}
{'loss': 27.1842, 'grad_norm': 12566585.0, 'learning_rate': 2.7411652340019102e-05, 'epoch': 0.0}
{'loss': 27.4424, 'grad_norm': 16977644.0, 'learning_rate': 2.874880611270296e-05, 'epoch': 0.0}
{'loss': 27.103, 'grad_norm': 11429760.0, 'learning_rate': 3.0085959885386817e-05, 'epoch': 0.0}
{'loss': 26.5914, 'grad_norm': 42553028.0, 'learning_rate': 3.1423113658070674e-05, 'epoch': 0.0}
{'loss': 27.1597, 'grad_norm': 61362888.0, 'learning_rate': 3.2760267430754535e-05, 'epoch': 0.0}
{'loss': 27.6654, 'grad_norm': 437659680.0, 'learning_rate': 3.4097421203438395e-05, 'epoch': 0.0}
{'loss': 27.3893, 'grad_norm': 17156240.0, 'learning_rate': 3.5434574976122256e-05, 'epoch': 0.0}
{'loss': 27.6106, 'grad_norm': 31242438.0, 'learning_rate': 3.6771728748806117e-05, 'epoch': 0.0}
{'loss': 26.8065, 'grad_norm': 8474878.0, 'learning_rate': 3.810888252148997e-05, 'epoch': 0.0}
