  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.6649, 'grad_norm': 6737836.5, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 25.8542, 'grad_norm': 14239720.0, 'learning_rate': 6.685768863419293e-07, 'epoch': 0.0}
{'loss': 27.2393, 'grad_norm': 10787366.0, 'learning_rate': 1.3371537726838585e-06, 'epoch': 0.0}
{'loss': 27.3495, 'grad_norm': 10749901.0, 'learning_rate': 2.005730659025788e-06, 'epoch': 0.0}
{'loss': 26.9028, 'grad_norm': 54608648.0, 'learning_rate': 2.674307545367717e-06, 'epoch': 0.0}
{'loss': 27.1269, 'grad_norm': 7217981.5, 'learning_rate': 3.342884431709647e-06, 'epoch': 0.0}
{'loss': 27.6937, 'grad_norm': 37490564.0, 'learning_rate': 4.011461318051576e-06, 'epoch': 0.0}
{'loss': 26.9768, 'grad_norm': 8076295.0, 'learning_rate': 4.6800382043935054e-06, 'epoch': 0.0}
{'loss': 26.8048, 'grad_norm': 12544194.0, 'learning_rate': 5.348615090735434e-06, 'epoch': 0.0}
{'loss': 26.8785, 'grad_norm': 16600460.0, 'learning_rate': 6.017191977077364e-06, 'epoch': 0.0}
{'loss': 27.5456, 'grad_norm': 10916215.0, 'learning_rate': 6.685768863419294e-06, 'epoch': 0.0}
{'loss': 27.8924, 'grad_norm': 76908624.0, 'learning_rate': 7.354345749761222e-06, 'epoch': 0.0}
{'loss': 27.1049, 'grad_norm': 9034676.0, 'learning_rate': 8.022922636103152e-06, 'epoch': 0.0}
{'loss': 26.538, 'grad_norm': 15163338.0, 'learning_rate': 8.69149952244508e-06, 'epoch': 0.0}
{'loss': 26.7842, 'grad_norm': 59168476.0, 'learning_rate': 9.360076408787011e-06, 'epoch': 0.0}
{'loss': 26.57, 'grad_norm': 18649438.0, 'learning_rate': 1.0028653295128941e-05, 'epoch': 0.0}
{'loss': 27.0514, 'grad_norm': 10435821.0, 'learning_rate': 1.0697230181470868e-05, 'epoch': 0.0}
{'loss': 27.0708, 'grad_norm': 16611006.0, 'learning_rate': 1.1365807067812798e-05, 'epoch': 0.0}
{'loss': 26.9405, 'grad_norm': 5749345.5, 'learning_rate': 1.2034383954154729e-05, 'epoch': 0.0}
{'loss': 26.1814, 'grad_norm': 5274517.5, 'learning_rate': 1.2702960840496657e-05, 'epoch': 0.0}
{'loss': 27.3629, 'grad_norm': 19954698.0, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 26.8067, 'grad_norm': 17216286.0, 'learning_rate': 1.4040114613180516e-05, 'epoch': 0.0}
{'loss': 27.1291, 'grad_norm': 19607686.0, 'learning_rate': 1.4708691499522443e-05, 'epoch': 0.0}
{'loss': 27.1929, 'grad_norm': 204806880.0, 'learning_rate': 1.5377268385864374e-05, 'epoch': 0.0}
{'loss': 27.018, 'grad_norm': 12060577.0, 'learning_rate': 1.6045845272206304e-05, 'epoch': 0.0}
{'loss': 27.2068, 'grad_norm': 6249255.0, 'learning_rate': 1.6714422158548234e-05, 'epoch': 0.0}
{'loss': 25.9507, 'grad_norm': 25806618.0, 'learning_rate': 1.738299904489016e-05, 'epoch': 0.0}
{'loss': 26.6215, 'grad_norm': 25990522.0, 'learning_rate': 1.805157593123209e-05, 'epoch': 0.0}
{'loss': 26.0378, 'grad_norm': 21897576.0, 'learning_rate': 1.8720152817574022e-05, 'epoch': 0.0}
{'loss': 26.3, 'grad_norm': 25522098.0, 'learning_rate': 1.9388729703915952e-05, 'epoch': 0.0}
{'loss': 27.0432, 'grad_norm': 4575335.5, 'learning_rate': 2.0057306590257882e-05, 'epoch': 0.0}
{'loss': 27.24, 'grad_norm': 8703884.0, 'learning_rate': 2.072588347659981e-05, 'epoch': 0.0}
{'loss': 26.5462, 'grad_norm': 12333423.0, 'learning_rate': 2.1394460362941736e-05, 'epoch': 0.0}
{'loss': 27.2361, 'grad_norm': 5757495.5, 'learning_rate': 2.2063037249283667e-05, 'epoch': 0.0}
{'loss': 26.492, 'grad_norm': 6415402.0, 'learning_rate': 2.2731614135625597e-05, 'epoch': 0.0}
{'loss': 26.7785, 'grad_norm': 13060606.0, 'learning_rate': 2.3400191021967527e-05, 'epoch': 0.0}
{'loss': 26.5716, 'grad_norm': 6903239.5, 'learning_rate': 2.4068767908309457e-05, 'epoch': 0.0}
{'loss': 26.9241, 'grad_norm': 5537111.5, 'learning_rate': 2.4737344794651384e-05, 'epoch': 0.0}
{'loss': 26.0788, 'grad_norm': 8765223.0, 'learning_rate': 2.5405921680993315e-05, 'epoch': 0.0}
{'loss': 26.9606, 'grad_norm': 9171533.0, 'learning_rate': 2.6074498567335245e-05, 'epoch': 0.0}
{'loss': 26.4539, 'grad_norm': 255966368.0, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 27.5519, 'grad_norm': 5531419.0, 'learning_rate': 2.7411652340019102e-05, 'epoch': 0.0}
{'loss': 26.9066, 'grad_norm': 38940820.0, 'learning_rate': 2.8080229226361033e-05, 'epoch': 0.0}
{'loss': 26.3803, 'grad_norm': 14875758.0, 'learning_rate': 2.874880611270296e-05, 'epoch': 0.0}
{'loss': 27.1807, 'grad_norm': 10014398.0, 'learning_rate': 2.9417382999044886e-05, 'epoch': 0.0}
{'loss': 26.3493, 'grad_norm': 3681145.5, 'learning_rate': 3.0085959885386817e-05, 'epoch': 0.0}
{'loss': 26.5905, 'grad_norm': 4058826.0, 'learning_rate': 3.075453677172875e-05, 'epoch': 0.0}
{'loss': 26.248, 'grad_norm': 22400692.0, 'learning_rate': 3.1423113658070674e-05, 'epoch': 0.0}
{'loss': 26.7114, 'grad_norm': 38777340.0, 'learning_rate': 3.209169054441261e-05, 'epoch': 0.0}
{'loss': 26.393, 'grad_norm': 12548207.0, 'learning_rate': 3.2760267430754535e-05, 'epoch': 0.0}
{'loss': 26.5431, 'grad_norm': 12050992.0, 'learning_rate': 3.342884431709647e-05, 'epoch': 0.0}
{'loss': 26.1198, 'grad_norm': 53117516.0, 'learning_rate': 3.4097421203438395e-05, 'epoch': 0.0}
{'loss': 26.4343, 'grad_norm': 12339986.0, 'learning_rate': 3.476599808978032e-05, 'epoch': 0.0}
{'loss': 26.1145, 'grad_norm': 12003817.0, 'learning_rate': 3.5434574976122256e-05, 'epoch': 0.0}
{'loss': 25.8549, 'grad_norm': 22308216.0, 'learning_rate': 3.610315186246418e-05, 'epoch': 0.0}
{'loss': 25.9822, 'grad_norm': 5475892.5, 'learning_rate': 3.6771728748806117e-05, 'epoch': 0.0}
{'loss': 26.7256, 'grad_norm': 12937657.0, 'learning_rate': 3.7440305635148043e-05, 'epoch': 0.0}
{'loss': 26.5168, 'grad_norm': 19044876.0, 'learning_rate': 3.810888252148997e-05, 'epoch': 0.0}
{'loss': 26.2435, 'grad_norm': 10085607.0, 'learning_rate': 3.8777459407831904e-05, 'epoch': 0.0}
{'loss': 25.4836, 'grad_norm': 48942416.0, 'learning_rate': 3.944603629417383e-05, 'epoch': 0.0}
{'loss': 26.1324, 'grad_norm': 9673714.0, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 25.3943, 'grad_norm': 4278227.5, 'learning_rate': 4.0783190066857685e-05, 'epoch': 0.0}
{'loss': 26.3866, 'grad_norm': 9802234.0, 'learning_rate': 4.145176695319962e-05, 'epoch': 0.0}
{'loss': 25.7424, 'grad_norm': 33597676.0, 'learning_rate': 4.2120343839541545e-05, 'epoch': 0.0}
{'loss': 26.4923, 'grad_norm': 31373304.0, 'learning_rate': 4.278892072588347e-05, 'epoch': 0.0}
{'loss': 26.4113, 'grad_norm': 11762326.0, 'learning_rate': 4.3457497612225406e-05, 'epoch': 0.0}
{'loss': 25.7359, 'grad_norm': 3520021.5, 'learning_rate': 4.412607449856733e-05, 'epoch': 0.0}
{'loss': 26.4203, 'grad_norm': 5750101.5, 'learning_rate': 4.479465138490927e-05, 'epoch': 0.0}
{'loss': 25.3758, 'grad_norm': 19330892.0, 'learning_rate': 4.5463228271251194e-05, 'epoch': 0.0}
{'loss': 25.6189, 'grad_norm': 3395663.0, 'learning_rate': 4.613180515759312e-05, 'epoch': 0.0}
{'loss': 25.7535, 'grad_norm': 3577304.25, 'learning_rate': 4.6800382043935054e-05, 'epoch': 0.0}
{'loss': 25.6948, 'grad_norm': 8423335.0, 'learning_rate': 4.7468958930276974e-05, 'epoch': 0.0}
{'loss': 25.9682, 'grad_norm': 9893343.0, 'learning_rate': 4.8137535816618915e-05, 'epoch': 0.0}
{'loss': 25.6644, 'grad_norm': 15488289.0, 'learning_rate': 4.8806112702960835e-05, 'epoch': 0.0}
{'loss': 25.243, 'grad_norm': 9684270.0, 'learning_rate': 4.947468958930277e-05, 'epoch': 0.0}
{'loss': 26.37, 'grad_norm': 12522507.0, 'learning_rate': 5.0143266475644696e-05, 'epoch': 0.0}
