  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.0842, 'grad_norm': 5248844.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 26.8338, 'grad_norm': 5071290.5, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 26.1803, 'grad_norm': 40100760.0, 'learning_rate': 9.169054441260745e-07, 'epoch': 0.0}
{'loss': 26.6005, 'grad_norm': 2015754.0, 'learning_rate': 1.3753581661891118e-06, 'epoch': 0.0}
{'loss': 26.8863, 'grad_norm': 2331936.25, 'learning_rate': 1.833810888252149e-06, 'epoch': 0.0}
{'loss': 26.8087, 'grad_norm': 6130531.5, 'learning_rate': 2.2922636103151864e-06, 'epoch': 0.0}
{'loss': 26.7542, 'grad_norm': 7929473.0, 'learning_rate': 2.7507163323782236e-06, 'epoch': 0.0}
{'loss': 26.2964, 'grad_norm': 2614080.75, 'learning_rate': 3.209169054441261e-06, 'epoch': 0.0}
{'loss': 27.1231, 'grad_norm': 15202933.0, 'learning_rate': 3.667621776504298e-06, 'epoch': 0.0}
{'loss': 26.2967, 'grad_norm': 290790976.0, 'learning_rate': 4.126074498567336e-06, 'epoch': 0.0}
{'loss': 27.5671, 'grad_norm': 4340999.5, 'learning_rate': 4.584527220630373e-06, 'epoch': 0.0}
{'loss': 26.5989, 'grad_norm': 16779092.0, 'learning_rate': 5.042979942693409e-06, 'epoch': 0.0}
{'loss': 26.1856, 'grad_norm': 8293507.5, 'learning_rate': 5.501432664756447e-06, 'epoch': 0.0}
{'loss': 27.1238, 'grad_norm': 5177499.5, 'learning_rate': 5.9598853868194845e-06, 'epoch': 0.0}
{'loss': 27.7787, 'grad_norm': 7557435.0, 'learning_rate': 6.418338108882522e-06, 'epoch': 0.0}
{'loss': 26.2097, 'grad_norm': 7788755.5, 'learning_rate': 6.876790830945559e-06, 'epoch': 0.0}
{'loss': 26.9968, 'grad_norm': 5085054.5, 'learning_rate': 7.335243553008596e-06, 'epoch': 0.0}
{'loss': 27.48, 'grad_norm': 10372961.0, 'learning_rate': 7.793696275071634e-06, 'epoch': 0.0}
{'loss': 26.4143, 'grad_norm': 7338907.0, 'learning_rate': 8.252148997134671e-06, 'epoch': 0.0}
{'loss': 26.7209, 'grad_norm': 23898494.0, 'learning_rate': 8.710601719197709e-06, 'epoch': 0.0}
{'loss': 26.3906, 'grad_norm': 16651454.0, 'learning_rate': 9.169054441260746e-06, 'epoch': 0.0}
{'loss': 27.2442, 'grad_norm': 3228764.5, 'learning_rate': 9.627507163323783e-06, 'epoch': 0.0}
{'loss': 27.9848, 'grad_norm': 7678762.0, 'learning_rate': 1.0085959885386818e-05, 'epoch': 0.0}
{'loss': 26.5911, 'grad_norm': 55219108.0, 'learning_rate': 1.0544412607449856e-05, 'epoch': 0.0}
{'loss': 26.6972, 'grad_norm': 13859447.0, 'learning_rate': 1.1002865329512895e-05, 'epoch': 0.0}
{'loss': 26.5685, 'grad_norm': 11613391.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 26.6422, 'grad_norm': 3026199.5, 'learning_rate': 1.1919770773638969e-05, 'epoch': 0.0}
{'loss': 26.3486, 'grad_norm': 2767404.5, 'learning_rate': 1.2378223495702006e-05, 'epoch': 0.0}
{'loss': 26.3082, 'grad_norm': 3993169.25, 'learning_rate': 1.2836676217765043e-05, 'epoch': 0.0}
{'loss': 26.4578, 'grad_norm': 10119628.0, 'learning_rate': 1.329512893982808e-05, 'epoch': 0.0}
{'loss': 26.7635, 'grad_norm': 3904600.75, 'learning_rate': 1.3753581661891118e-05, 'epoch': 0.0}
{'loss': 26.415, 'grad_norm': 5927938.5, 'learning_rate': 1.4212034383954155e-05, 'epoch': 0.0}
{'loss': 27.2446, 'grad_norm': 13455727.0, 'learning_rate': 1.4670487106017192e-05, 'epoch': 0.0}
{'loss': 26.2194, 'grad_norm': 6316883.0, 'learning_rate': 1.512893982808023e-05, 'epoch': 0.0}
{'loss': 25.8636, 'grad_norm': 2814500.0, 'learning_rate': 1.558739255014327e-05, 'epoch': 0.0}
{'loss': 26.7584, 'grad_norm': 3736364.0, 'learning_rate': 1.6045845272206304e-05, 'epoch': 0.0}
{'loss': 26.3689, 'grad_norm': 11313625.0, 'learning_rate': 1.6504297994269343e-05, 'epoch': 0.0}
{'loss': 27.2482, 'grad_norm': 11417044.0, 'learning_rate': 1.6962750716332378e-05, 'epoch': 0.0}
{'loss': 26.8857, 'grad_norm': 2901357.75, 'learning_rate': 1.7421203438395417e-05, 'epoch': 0.0}
{'loss': 26.6295, 'grad_norm': 7502136.5, 'learning_rate': 1.7879656160458453e-05, 'epoch': 0.0}
{'loss': 26.1823, 'grad_norm': 3132442.5, 'learning_rate': 1.833810888252149e-05, 'epoch': 0.0}
{'loss': 26.163, 'grad_norm': 10667456.0, 'learning_rate': 1.879656160458453e-05, 'epoch': 0.0}
{'loss': 26.2523, 'grad_norm': 4734558.0, 'learning_rate': 1.9255014326647566e-05, 'epoch': 0.0}
{'loss': 26.9184, 'grad_norm': 3941444.25, 'learning_rate': 1.97134670487106e-05, 'epoch': 0.0}
{'loss': 26.6479, 'grad_norm': 4537805.5, 'learning_rate': 2.0171919770773637e-05, 'epoch': 0.0}
{'loss': 26.757, 'grad_norm': 3637767.5, 'learning_rate': 2.0630372492836676e-05, 'epoch': 0.0}
{'loss': 26.1911, 'grad_norm': 20309934.0, 'learning_rate': 2.108882521489971e-05, 'epoch': 0.0}
{'loss': 26.3662, 'grad_norm': 7734495.5, 'learning_rate': 2.154727793696275e-05, 'epoch': 0.0}
{'loss': 25.7619, 'grad_norm': 10629678.0, 'learning_rate': 2.200573065902579e-05, 'epoch': 0.0}
{'loss': 26.0107, 'grad_norm': 3882727.5, 'learning_rate': 2.2464183381088825e-05, 'epoch': 0.0}
{'loss': 26.889, 'grad_norm': 8962798.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 26.6631, 'grad_norm': 6208698.5, 'learning_rate': 2.33810888252149e-05, 'epoch': 0.0}
{'loss': 26.3274, 'grad_norm': 6589065.5, 'learning_rate': 2.3839541547277938e-05, 'epoch': 0.0}
{'loss': 26.1649, 'grad_norm': 35884460.0, 'learning_rate': 2.4297994269340974e-05, 'epoch': 0.0}
{'loss': 26.2868, 'grad_norm': 3947012.0, 'learning_rate': 2.4756446991404012e-05, 'epoch': 0.0}
{'loss': 26.3016, 'grad_norm': 2169368.0, 'learning_rate': 2.521489971346705e-05, 'epoch': 0.0}
{'loss': 26.5957, 'grad_norm': 6144746.0, 'learning_rate': 2.5673352435530087e-05, 'epoch': 0.0}
{'loss': 26.163, 'grad_norm': 12686393.0, 'learning_rate': 2.6131805157593126e-05, 'epoch': 0.0}
{'loss': 26.7534, 'grad_norm': 4514606.0, 'learning_rate': 2.659025787965616e-05, 'epoch': 0.0}
{'loss': 26.4422, 'grad_norm': 11203445.0, 'learning_rate': 2.70487106017192e-05, 'epoch': 0.0}
{'loss': 25.6034, 'grad_norm': 6647152.5, 'learning_rate': 2.7507163323782236e-05, 'epoch': 0.0}
{'loss': 25.8566, 'grad_norm': 6104907.0, 'learning_rate': 2.796561604584527e-05, 'epoch': 0.0}
{'loss': 26.2909, 'grad_norm': 110308272.0, 'learning_rate': 2.842406876790831e-05, 'epoch': 0.0}
{'loss': 26.324, 'grad_norm': 7392678.5, 'learning_rate': 2.8882521489971346e-05, 'epoch': 0.0}
{'loss': 25.98, 'grad_norm': 3080309.75, 'learning_rate': 2.9340974212034384e-05, 'epoch': 0.0}
{'loss': 26.0883, 'grad_norm': 21665760.0, 'learning_rate': 2.979942693409742e-05, 'epoch': 0.0}
{'loss': 25.3047, 'grad_norm': 8222975.0, 'learning_rate': 3.025787965616046e-05, 'epoch': 0.0}
{'loss': 25.2875, 'grad_norm': 3309661.5, 'learning_rate': 3.07163323782235e-05, 'epoch': 0.0}
{'loss': 25.1604, 'grad_norm': 162659136.0, 'learning_rate': 3.117478510028654e-05, 'epoch': 0.0}
{'loss': 27.0044, 'grad_norm': 4569258.5, 'learning_rate': 3.163323782234957e-05, 'epoch': 0.0}
{'loss': 25.9849, 'grad_norm': 9298033.0, 'learning_rate': 3.209169054441261e-05, 'epoch': 0.0}
{'loss': 26.1421, 'grad_norm': 3213543.75, 'learning_rate': 3.255014326647564e-05, 'epoch': 0.0}
{'loss': 26.0569, 'grad_norm': 6949604.5, 'learning_rate': 3.3008595988538685e-05, 'epoch': 0.0}
{'loss': 25.2853, 'grad_norm': 2537441.5, 'learning_rate': 3.346704871060172e-05, 'epoch': 0.0}
{'loss': 24.8844, 'grad_norm': 6308561.0, 'learning_rate': 3.3925501432664757e-05, 'epoch': 0.0}
{'loss': 25.935, 'grad_norm': 45113080.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 26.4821, 'grad_norm': 6253787.5, 'learning_rate': 3.4842406876790834e-05, 'epoch': 0.0}
{'loss': 26.0638, 'grad_norm': 11490326.0, 'learning_rate': 3.5300859598853866e-05, 'epoch': 0.0}
{'loss': 25.7199, 'grad_norm': 4457310.0, 'learning_rate': 3.5759312320916905e-05, 'epoch': 0.0}
{'loss': 24.7363, 'grad_norm': 50944800.0, 'learning_rate': 3.6217765042979944e-05, 'epoch': 0.0}
{'loss': 26.113, 'grad_norm': 17959552.0, 'learning_rate': 3.667621776504298e-05, 'epoch': 0.0}
{'loss': 25.5452, 'grad_norm': 5329732.5, 'learning_rate': 3.7134670487106015e-05, 'epoch': 0.0}
{'loss': 25.6556, 'grad_norm': 5817509.0, 'learning_rate': 3.759312320916906e-05, 'epoch': 0.0}
{'loss': 25.1843, 'grad_norm': 17158210.0, 'learning_rate': 3.805157593123209e-05, 'epoch': 0.0}
{'loss': 24.9579, 'grad_norm': 2010811.125, 'learning_rate': 3.851002865329513e-05, 'epoch': 0.0}
{'loss': 25.7098, 'grad_norm': 12151490.0, 'learning_rate': 3.8968481375358164e-05, 'epoch': 0.0}
{'loss': 25.7594, 'grad_norm': 11936414.0, 'learning_rate': 3.94269340974212e-05, 'epoch': 0.0}
{'loss': 26.2547, 'grad_norm': 1828807.5, 'learning_rate': 3.988538681948424e-05, 'epoch': 0.0}
{'loss': 25.1965, 'grad_norm': 4192874.0, 'learning_rate': 4.0343839541547274e-05, 'epoch': 0.0}
{'loss': 25.303, 'grad_norm': 2954195.75, 'learning_rate': 4.080229226361032e-05, 'epoch': 0.0}
{'loss': 25.0073, 'grad_norm': 13402427.0, 'learning_rate': 4.126074498567335e-05, 'epoch': 0.0}
{'loss': 24.9488, 'grad_norm': 31761126.0, 'learning_rate': 4.171919770773639e-05, 'epoch': 0.0}
{'loss': 25.0935, 'grad_norm': 7338702.0, 'learning_rate': 4.217765042979942e-05, 'epoch': 0.0}
{'loss': 24.8082, 'grad_norm': 19239840.0, 'learning_rate': 4.263610315186247e-05, 'epoch': 0.0}
{'loss': 25.675, 'grad_norm': 9307680.0, 'learning_rate': 4.30945558739255e-05, 'epoch': 0.0}
{'loss': 25.0721, 'grad_norm': 4587601.5, 'learning_rate': 4.355300859598854e-05, 'epoch': 0.0}
{'loss': 23.9889, 'grad_norm': 12989589.0, 'learning_rate': 4.401146131805158e-05, 'epoch': 0.0}
{'loss': 25.4791, 'grad_norm': 24139270.0, 'learning_rate': 4.446991404011462e-05, 'epoch': 0.0}
{'loss': 25.5386, 'grad_norm': 7374960.5, 'learning_rate': 4.492836676217765e-05, 'epoch': 0.0}
{'loss': 24.3885, 'grad_norm': 5175188.5, 'learning_rate': 4.538681948424069e-05, 'epoch': 0.0}
{'loss': 25.4284, 'grad_norm': 9580189.0, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 24.3359, 'grad_norm': 21154188.0, 'learning_rate': 4.6303724928366766e-05, 'epoch': 0.0}
{'loss': 25.3201, 'grad_norm': 3211268.75, 'learning_rate': 4.67621776504298e-05, 'epoch': 0.0}
{'loss': 24.9281, 'grad_norm': 5829523.5, 'learning_rate': 4.722063037249284e-05, 'epoch': 0.0}
{'loss': 24.4102, 'grad_norm': 5859914.5, 'learning_rate': 4.7679083094555876e-05, 'epoch': 0.0}
