  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.8183, 'grad_norm': 87369120.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.1677, 'grad_norm': 4218936.0, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 27.5033, 'grad_norm': 7076481.5, 'learning_rate': 9.169054441260745e-07, 'epoch': 0.0}
{'loss': 27.3949, 'grad_norm': 18150794.0, 'learning_rate': 1.3753581661891118e-06, 'epoch': 0.0}
{'loss': 26.8934, 'grad_norm': 4096152.25, 'learning_rate': 1.833810888252149e-06, 'epoch': 0.0}
{'loss': 27.1611, 'grad_norm': 19156308.0, 'learning_rate': 2.2922636103151864e-06, 'epoch': 0.0}
{'loss': 27.2756, 'grad_norm': 6252159.5, 'learning_rate': 2.7507163323782236e-06, 'epoch': 0.0}
{'loss': 26.2948, 'grad_norm': 22708750.0, 'learning_rate': 3.209169054441261e-06, 'epoch': 0.0}
{'loss': 28.2715, 'grad_norm': 11025920.0, 'learning_rate': 3.667621776504298e-06, 'epoch': 0.0}
{'loss': 27.1868, 'grad_norm': 8543085.0, 'learning_rate': 4.126074498567336e-06, 'epoch': 0.0}
{'loss': 26.8262, 'grad_norm': 14093197.0, 'learning_rate': 4.584527220630373e-06, 'epoch': 0.0}
{'loss': 26.8753, 'grad_norm': 9978945.0, 'learning_rate': 5.042979942693409e-06, 'epoch': 0.0}
{'loss': 27.211, 'grad_norm': 5704899.5, 'learning_rate': 5.501432664756447e-06, 'epoch': 0.0}
{'loss': 27.328, 'grad_norm': 58966432.0, 'learning_rate': 5.9598853868194845e-06, 'epoch': 0.0}
{'loss': 27.366, 'grad_norm': 16401495.0, 'learning_rate': 6.418338108882522e-06, 'epoch': 0.0}
{'loss': 27.2293, 'grad_norm': 53780364.0, 'learning_rate': 6.876790830945559e-06, 'epoch': 0.0}
{'loss': 27.269, 'grad_norm': 8541782.0, 'learning_rate': 7.335243553008596e-06, 'epoch': 0.0}
{'loss': 26.7885, 'grad_norm': 6154586.0, 'learning_rate': 7.793696275071634e-06, 'epoch': 0.0}
{'loss': 27.1513, 'grad_norm': 25592672.0, 'learning_rate': 8.252148997134671e-06, 'epoch': 0.0}
{'loss': 26.7914, 'grad_norm': 5421877.0, 'learning_rate': 8.710601719197709e-06, 'epoch': 0.0}
{'loss': 27.5291, 'grad_norm': 8707492.0, 'learning_rate': 9.169054441260746e-06, 'epoch': 0.0}
{'loss': 27.0301, 'grad_norm': 5601465.0, 'learning_rate': 9.627507163323783e-06, 'epoch': 0.0}
{'loss': 26.6674, 'grad_norm': 14866366.0, 'learning_rate': 1.0085959885386818e-05, 'epoch': 0.0}
{'loss': 27.3013, 'grad_norm': 7894016.0, 'learning_rate': 1.0544412607449856e-05, 'epoch': 0.0}
{'loss': 27.2183, 'grad_norm': 20319714.0, 'learning_rate': 1.1002865329512895e-05, 'epoch': 0.0}
{'loss': 27.1831, 'grad_norm': 11522249.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 26.9904, 'grad_norm': 6331076.5, 'learning_rate': 1.1919770773638969e-05, 'epoch': 0.0}
{'loss': 27.0782, 'grad_norm': 5134520.0, 'learning_rate': 1.2378223495702006e-05, 'epoch': 0.0}
{'loss': 26.7723, 'grad_norm': 3970351.25, 'learning_rate': 1.2836676217765043e-05, 'epoch': 0.0}
{'loss': 26.9387, 'grad_norm': 110002064.0, 'learning_rate': 1.329512893982808e-05, 'epoch': 0.0}
{'loss': 26.7321, 'grad_norm': 13806479.0, 'learning_rate': 1.3753581661891118e-05, 'epoch': 0.0}
{'loss': 26.6669, 'grad_norm': 3273752.75, 'learning_rate': 1.4212034383954155e-05, 'epoch': 0.0}
{'loss': 26.7348, 'grad_norm': 3390253.25, 'learning_rate': 1.4670487106017192e-05, 'epoch': 0.0}
{'loss': 26.6436, 'grad_norm': 2222256.5, 'learning_rate': 1.512893982808023e-05, 'epoch': 0.0}
{'loss': 26.8844, 'grad_norm': 5211508.5, 'learning_rate': 1.558739255014327e-05, 'epoch': 0.0}
{'loss': 27.0118, 'grad_norm': 11210636.0, 'learning_rate': 1.6045845272206304e-05, 'epoch': 0.0}
{'loss': 26.7956, 'grad_norm': 9513596.0, 'learning_rate': 1.6504297994269343e-05, 'epoch': 0.0}
{'loss': 27.4592, 'grad_norm': 3859395.5, 'learning_rate': 1.6962750716332378e-05, 'epoch': 0.0}
{'loss': 27.174, 'grad_norm': 10551106.0, 'learning_rate': 1.7421203438395417e-05, 'epoch': 0.0}
{'loss': 27.057, 'grad_norm': 3168008.5, 'learning_rate': 1.7879656160458453e-05, 'epoch': 0.0}
{'loss': 26.9955, 'grad_norm': 7212420.0, 'learning_rate': 1.833810888252149e-05, 'epoch': 0.0}
{'loss': 27.0614, 'grad_norm': 3866917.25, 'learning_rate': 1.879656160458453e-05, 'epoch': 0.0}
{'loss': 26.925, 'grad_norm': 9216433.0, 'learning_rate': 1.9255014326647566e-05, 'epoch': 0.0}
{'loss': 26.5238, 'grad_norm': 35161872.0, 'learning_rate': 1.97134670487106e-05, 'epoch': 0.0}
{'loss': 27.2568, 'grad_norm': 12719779.0, 'learning_rate': 2.0171919770773637e-05, 'epoch': 0.0}
{'loss': 26.8285, 'grad_norm': 28545084.0, 'learning_rate': 2.0630372492836676e-05, 'epoch': 0.0}
