  0%|                                                                         | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                        
{'loss': 18.1158, 'grad_norm': 477632800.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 17.4863, 'grad_norm': 351793344.0, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 18.5156, 'grad_norm': 77621088.0, 'learning_rate': 9.169054441260745e-07, 'epoch': 0.0}
{'loss': 18.0638, 'grad_norm': 140650384.0, 'learning_rate': 1.3753581661891118e-06, 'epoch': 0.0}
{'loss': 18.4852, 'grad_norm': 85242224.0, 'learning_rate': 1.833810888252149e-06, 'epoch': 0.0}
{'loss': 18.1527, 'grad_norm': 194614000.0, 'learning_rate': 2.2922636103151864e-06, 'epoch': 0.0}
{'loss': 17.8758, 'grad_norm': 118098072.0, 'learning_rate': 2.7507163323782236e-06, 'epoch': 0.0}
{'loss': 17.9798, 'grad_norm': 198841920.0, 'learning_rate': 3.209169054441261e-06, 'epoch': 0.0}
{'loss': 17.3819, 'grad_norm': 175953888.0, 'learning_rate': 3.667621776504298e-06, 'epoch': 0.0}
{'loss': 18.9925, 'grad_norm': 68759000.0, 'learning_rate': 4.126074498567336e-06, 'epoch': 0.0}
{'loss': 19.11, 'grad_norm': 113392000.0, 'learning_rate': 4.584527220630373e-06, 'epoch': 0.0}
{'loss': 17.826, 'grad_norm': 485208288.0, 'learning_rate': 5.042979942693409e-06, 'epoch': 0.0}
{'loss': 17.1513, 'grad_norm': 172332576.0, 'learning_rate': 5.501432664756447e-06, 'epoch': 0.0}
{'loss': 18.2464, 'grad_norm': 105441608.0, 'learning_rate': 5.9598853868194845e-06, 'epoch': 0.0}
{'loss': 16.917, 'grad_norm': 118124408.0, 'learning_rate': 6.418338108882522e-06, 'epoch': 0.0}
{'loss': 17.1705, 'grad_norm': 911035584.0, 'learning_rate': 6.876790830945559e-06, 'epoch': 0.0}
{'loss': 18.0401, 'grad_norm': 194906880.0, 'learning_rate': 7.335243553008596e-06, 'epoch': 0.0}
{'loss': 17.8949, 'grad_norm': 220379824.0, 'learning_rate': 7.793696275071634e-06, 'epoch': 0.0}
{'loss': 18.7245, 'grad_norm': 103002096.0, 'learning_rate': 8.252148997134671e-06, 'epoch': 0.0}
{'loss': 18.9632, 'grad_norm': 395262272.0, 'learning_rate': 8.710601719197709e-06, 'epoch': 0.0}
{'loss': 17.8035, 'grad_norm': 112792008.0, 'learning_rate': 9.169054441260746e-06, 'epoch': 0.0}
{'loss': 19.4833, 'grad_norm': 433118944.0, 'learning_rate': 9.627507163323783e-06, 'epoch': 0.0}
{'loss': 18.6409, 'grad_norm': 156397488.0, 'learning_rate': 1.0085959885386818e-05, 'epoch': 0.0}
{'loss': 17.764, 'grad_norm': 81599864.0, 'learning_rate': 1.0544412607449856e-05, 'epoch': 0.0}
{'loss': 17.6702, 'grad_norm': 208128016.0, 'learning_rate': 1.1002865329512895e-05, 'epoch': 0.0}
{'loss': 18.8668, 'grad_norm': 196365296.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 17.7502, 'grad_norm': 90910304.0, 'learning_rate': 1.1919770773638969e-05, 'epoch': 0.0}
{'loss': 18.7113, 'grad_norm': 92070912.0, 'learning_rate': 1.2378223495702006e-05, 'epoch': 0.0}
{'loss': 18.1939, 'grad_norm': 136549072.0, 'learning_rate': 1.2836676217765043e-05, 'epoch': 0.0}
{'loss': 19.0559, 'grad_norm': 134861936.0, 'learning_rate': 1.329512893982808e-05, 'epoch': 0.0}
{'loss': 19.499, 'grad_norm': 121370496.0, 'learning_rate': 1.3753581661891118e-05, 'epoch': 0.0}
{'loss': 18.431, 'grad_norm': 233382464.0, 'learning_rate': 1.4212034383954155e-05, 'epoch': 0.0}
{'loss': 18.3824, 'grad_norm': 671549888.0, 'learning_rate': 1.4670487106017192e-05, 'epoch': 0.0}
{'loss': 18.4949, 'grad_norm': 431536032.0, 'learning_rate': 1.512893982808023e-05, 'epoch': 0.0}
{'loss': 18.6333, 'grad_norm': 99212800.0, 'learning_rate': 1.558739255014327e-05, 'epoch': 0.0}
{'loss': 17.217, 'grad_norm': 106462008.0, 'learning_rate': 1.6045845272206304e-05, 'epoch': 0.0}
{'loss': 17.8624, 'grad_norm': 98767608.0, 'learning_rate': 1.6504297994269343e-05, 'epoch': 0.0}
{'loss': 18.9696, 'grad_norm': 160266464.0, 'learning_rate': 1.6962750716332378e-05, 'epoch': 0.0}
{'loss': 18.9658, 'grad_norm': 193468208.0, 'learning_rate': 1.7421203438395417e-05, 'epoch': 0.0}
{'loss': 20.217, 'grad_norm': 182531984.0, 'learning_rate': 1.7879656160458453e-05, 'epoch': 0.0}
{'loss': 18.8623, 'grad_norm': 88894824.0, 'learning_rate': 1.833810888252149e-05, 'epoch': 0.0}
{'loss': 18.9359, 'grad_norm': 80756072.0, 'learning_rate': 1.879656160458453e-05, 'epoch': 0.0}
