  0%|                                                                                                       | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                      
{'loss': 18.1924, 'grad_norm': 274513536.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 18.9567, 'grad_norm': 81170784.0, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 17.4875, 'grad_norm': 171534912.0, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 18.6733, 'grad_norm': 109209552.0, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 17.6749, 'grad_norm': 105918208.0, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 18.367, 'grad_norm': 81506856.0, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 18.416, 'grad_norm': 118126376.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 18.4774, 'grad_norm': 117901824.0, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 17.9255, 'grad_norm': 37124632.0, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 18.2478, 'grad_norm': 81506520.0, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 18.6146, 'grad_norm': 119235112.0, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 18.4804, 'grad_norm': 82998728.0, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 17.8146, 'grad_norm': 192404688.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 17.242, 'grad_norm': 90471160.0, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 17.2047, 'grad_norm': 38749000.0, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 17.6497, 'grad_norm': 56537568.0, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 17.9729, 'grad_norm': 54377076.0, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 16.7043, 'grad_norm': 68513536.0, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 17.4796, 'grad_norm': 343103680.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 18.1265, 'grad_norm': 69684544.0, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 18.081, 'grad_norm': 119054304.0, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 18.013, 'grad_norm': 146247504.0, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 17.6691, 'grad_norm': 78298248.0, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 18.3211, 'grad_norm': 51683760.0, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
