  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 11.4844, 'grad_norm': 32921.1484375, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 11.6489, 'grad_norm': 2841.4443359375, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 11.8911, 'grad_norm': 49693.984375, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 11.2368, 'grad_norm': 9506.2021484375, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 11.464, 'grad_norm': 19942.068359375, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 10.9493, 'grad_norm': 2924.046142578125, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 11.9559, 'grad_norm': 4652.65869140625, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 11.7974, 'grad_norm': 3565.119140625, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 11.7649, 'grad_norm': 37460.29296875, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 11.8377, 'grad_norm': 4108.92578125, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 11.8547, 'grad_norm': 2233.582275390625, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 11.7374, 'grad_norm': 20294.158203125, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 11.8288, 'grad_norm': 38793.07421875, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 11.9479, 'grad_norm': 11234.2802734375, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 12.0565, 'grad_norm': 11431.44921875, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 11.7818, 'grad_norm': 62779.109375, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 11.8338, 'grad_norm': 20275.662109375, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 11.745, 'grad_norm': 16074.9853515625, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 11.7891, 'grad_norm': 9140.16796875, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 11.7035, 'grad_norm': 38733.08203125, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 11.8906, 'grad_norm': 10918.8564453125, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 11.3465, 'grad_norm': 126162.9140625, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 11.7605, 'grad_norm': 11670.37890625, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 11.6177, 'grad_norm': 8130.22998046875, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
{'loss': 11.6667, 'grad_norm': 5236.283203125, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 11.3897, 'grad_norm': 7814.81982421875, 'learning_rate': 4.775549188156638e-05, 'epoch': 0.0}
{'loss': 11.786, 'grad_norm': 14111.9453125, 'learning_rate': 4.9665711556829036e-05, 'epoch': 0.0}
{'loss': 11.2246, 'grad_norm': 11155.755859375, 'learning_rate': 5.157593123209169e-05, 'epoch': 0.0}
{'loss': 11.8522, 'grad_norm': 6794.68212890625, 'learning_rate': 5.348615090735435e-05, 'epoch': 0.0}
{'loss': 11.9024, 'grad_norm': 2901.156982421875, 'learning_rate': 5.5396370582617005e-05, 'epoch': 0.0}
{'loss': 11.7842, 'grad_norm': 4449.01513671875, 'learning_rate': 5.730659025787966e-05, 'epoch': 0.0}
{'loss': 11.6159, 'grad_norm': 25825.65234375, 'learning_rate': 5.921680993314231e-05, 'epoch': 0.0}
{'loss': 11.6764, 'grad_norm': 6180.26611328125, 'learning_rate': 6.112702960840496e-05, 'epoch': 0.0}
{'loss': 12.0947, 'grad_norm': 53247.8671875, 'learning_rate': 6.303724928366763e-05, 'epoch': 0.0}
{'loss': 11.8233, 'grad_norm': 27269.783203125, 'learning_rate': 6.494746895893028e-05, 'epoch': 0.0}
{'loss': 12.542, 'grad_norm': 5375.63427734375, 'learning_rate': 6.685768863419294e-05, 'epoch': 0.0}
{'loss': 11.5909, 'grad_norm': 6463.50341796875, 'learning_rate': 6.876790830945559e-05, 'epoch': 0.0}
{'loss': 12.6177, 'grad_norm': 15336.4345703125, 'learning_rate': 7.067812798471824e-05, 'epoch': 0.0}
{'loss': 12.1987, 'grad_norm': 16417.208984375, 'learning_rate': 7.25883476599809e-05, 'epoch': 0.0}
{'loss': 12.0524, 'grad_norm': 8984.3798828125, 'learning_rate': 7.449856733524355e-05, 'epoch': 0.0}
{'loss': 11.6873, 'grad_norm': 9255.3828125, 'learning_rate': 7.640878701050622e-05, 'epoch': 0.0}
{'loss': 12.2394, 'grad_norm': 6051.89111328125, 'learning_rate': 7.831900668576888e-05, 'epoch': 0.0}
{'loss': 12.229, 'grad_norm': 36952.3125, 'learning_rate': 8.022922636103153e-05, 'epoch': 0.0}
{'loss': 12.205, 'grad_norm': 14009.4833984375, 'learning_rate': 8.213944603629417e-05, 'epoch': 0.0}
{'loss': 11.7178, 'grad_norm': 5855.669921875, 'learning_rate': 8.404966571155682e-05, 'epoch': 0.0}
{'loss': 12.281, 'grad_norm': 6846.75732421875, 'learning_rate': 8.595988538681948e-05, 'epoch': 0.0}
{'loss': 11.9882, 'grad_norm': 4559.64892578125, 'learning_rate': 8.787010506208213e-05, 'epoch': 0.0}
