  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 12.431, 'grad_norm': 15216.9599609375, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 12.1292, 'grad_norm': 40483.62109375, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 12.6052, 'grad_norm': 91152.0625, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 12.2427, 'grad_norm': 9136.396484375, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 11.9711, 'grad_norm': 91739.34375, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 11.1471, 'grad_norm': 7399.59326171875, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 12.5463, 'grad_norm': 8186.7744140625, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 12.2629, 'grad_norm': 11130.8720703125, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 11.9752, 'grad_norm': 188505.875, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 11.6743, 'grad_norm': 64376.1015625, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 12.0327, 'grad_norm': 67127.3359375, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 12.4247, 'grad_norm': 7853.166015625, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 12.0881, 'grad_norm': 15392.91796875, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 12.1975, 'grad_norm': 10076.1923828125, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 12.9912, 'grad_norm': 22016.134765625, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 12.1427, 'grad_norm': 15518.8740234375, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 12.6798, 'grad_norm': 7607.40576171875, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 12.1833, 'grad_norm': 29166.828125, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 12.6471, 'grad_norm': 36104.60546875, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
