  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.7496, 'grad_norm': 16702705.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.2107, 'grad_norm': 25814762.0, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 27.9512, 'grad_norm': 216684800.0, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 27.6868, 'grad_norm': 24638706.0, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 27.5436, 'grad_norm': 172957616.0, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 26.2035, 'grad_norm': 10874786.0, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 27.8532, 'grad_norm': 22964280.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 27.0562, 'grad_norm': 19750866.0, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 27.8967, 'grad_norm': 44627188.0, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 27.3554, 'grad_norm': 21006276.0, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 26.8308, 'grad_norm': 29862116.0, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 27.4912, 'grad_norm': 183271504.0, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 27.2984, 'grad_norm': 19309222.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 26.582, 'grad_norm': 21094898.0, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 27.2619, 'grad_norm': 76575208.0, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 27.0081, 'grad_norm': 16793740.0, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 27.0275, 'grad_norm': 18137342.0, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 27.3745, 'grad_norm': 9919044.0, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 26.6099, 'grad_norm': 20939002.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 27.0823, 'grad_norm': 15642157.0, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 27.1668, 'grad_norm': 16087342.0, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 27.1357, 'grad_norm': 120657376.0, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 27.7126, 'grad_norm': 535626944.0, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 27.1801, 'grad_norm': 17610932.0, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
{'loss': 26.356, 'grad_norm': 39332380.0, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 27.9606, 'grad_norm': 32586768.0, 'learning_rate': 4.775549188156638e-05, 'epoch': 0.0}
{'loss': 26.6952, 'grad_norm': 50368432.0, 'learning_rate': 4.9665711556829036e-05, 'epoch': 0.0}
