  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.4302, 'grad_norm': 20358012.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.3305, 'grad_norm': 19111088.0, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 27.1032, 'grad_norm': 66340336.0, 'learning_rate': 9.169054441260745e-07, 'epoch': 0.0}
{'loss': 27.8035, 'grad_norm': 50679872.0, 'learning_rate': 1.3753581661891118e-06, 'epoch': 0.0}
{'loss': 27.2217, 'grad_norm': 72297264.0, 'learning_rate': 1.833810888252149e-06, 'epoch': 0.0}
{'loss': 26.7855, 'grad_norm': 18762146.0, 'learning_rate': 2.2922636103151864e-06, 'epoch': 0.0}
{'loss': 27.477, 'grad_norm': 15048843.0, 'learning_rate': 2.7507163323782236e-06, 'epoch': 0.0}
{'loss': 26.6391, 'grad_norm': 18681754.0, 'learning_rate': 3.209169054441261e-06, 'epoch': 0.0}
{'loss': 26.7734, 'grad_norm': 30237182.0, 'learning_rate': 3.667621776504298e-06, 'epoch': 0.0}
{'loss': 27.1099, 'grad_norm': 64095460.0, 'learning_rate': 4.126074498567336e-06, 'epoch': 0.0}
{'loss': 27.0154, 'grad_norm': 117038832.0, 'learning_rate': 4.584527220630373e-06, 'epoch': 0.0}
{'loss': 28.4854, 'grad_norm': 61257364.0, 'learning_rate': 5.042979942693409e-06, 'epoch': 0.0}
{'loss': 27.4505, 'grad_norm': 14946849.0, 'learning_rate': 5.501432664756447e-06, 'epoch': 0.0}
{'loss': 27.5215, 'grad_norm': 83480000.0, 'learning_rate': 5.9598853868194845e-06, 'epoch': 0.0}
{'loss': 27.0943, 'grad_norm': 77648408.0, 'learning_rate': 6.418338108882522e-06, 'epoch': 0.0}
{'loss': 26.1673, 'grad_norm': 33198204.0, 'learning_rate': 6.876790830945559e-06, 'epoch': 0.0}
{'loss': 27.5954, 'grad_norm': 18871972.0, 'learning_rate': 7.335243553008596e-06, 'epoch': 0.0}
{'loss': 26.7693, 'grad_norm': 12410989.0, 'learning_rate': 7.793696275071634e-06, 'epoch': 0.0}
{'loss': 27.0444, 'grad_norm': 25549672.0, 'learning_rate': 8.252148997134671e-06, 'epoch': 0.0}
{'loss': 27.0602, 'grad_norm': 29452066.0, 'learning_rate': 8.710601719197709e-06, 'epoch': 0.0}
{'loss': 26.8883, 'grad_norm': 8974830.0, 'learning_rate': 9.169054441260746e-06, 'epoch': 0.0}
{'loss': 26.6993, 'grad_norm': 37072124.0, 'learning_rate': 9.627507163323783e-06, 'epoch': 0.0}
{'loss': 27.2384, 'grad_norm': 73715896.0, 'learning_rate': 1.0085959885386818e-05, 'epoch': 0.0}
{'loss': 26.8778, 'grad_norm': 40294064.0, 'learning_rate': 1.0544412607449856e-05, 'epoch': 0.0}
{'loss': 27.8402, 'grad_norm': 48953364.0, 'learning_rate': 1.1002865329512895e-05, 'epoch': 0.0}
{'loss': 27.1516, 'grad_norm': 45097308.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 27.7836, 'grad_norm': 36057288.0, 'learning_rate': 1.1919770773638969e-05, 'epoch': 0.0}
{'loss': 27.0104, 'grad_norm': 15641233.0, 'learning_rate': 1.2378223495702006e-05, 'epoch': 0.0}
{'loss': 27.0268, 'grad_norm': 21884924.0, 'learning_rate': 1.2836676217765043e-05, 'epoch': 0.0}
{'loss': 27.5498, 'grad_norm': 58060704.0, 'learning_rate': 1.329512893982808e-05, 'epoch': 0.0}
{'loss': 27.5221, 'grad_norm': 10763225.0, 'learning_rate': 1.3753581661891118e-05, 'epoch': 0.0}
{'loss': 27.3939, 'grad_norm': 24398728.0, 'learning_rate': 1.4212034383954155e-05, 'epoch': 0.0}
{'loss': 26.7637, 'grad_norm': 43074588.0, 'learning_rate': 1.4670487106017192e-05, 'epoch': 0.0}
{'loss': 25.6714, 'grad_norm': 38450408.0, 'learning_rate': 1.512893982808023e-05, 'epoch': 0.0}
{'loss': 26.4083, 'grad_norm': 25011172.0, 'learning_rate': 1.558739255014327e-05, 'epoch': 0.0}
{'loss': 26.9866, 'grad_norm': 19026598.0, 'learning_rate': 1.6045845272206304e-05, 'epoch': 0.0}
{'loss': 27.2541, 'grad_norm': 21557204.0, 'learning_rate': 1.6504297994269343e-05, 'epoch': 0.0}
{'loss': 26.3529, 'grad_norm': 37581348.0, 'learning_rate': 1.6962750716332378e-05, 'epoch': 0.0}
{'loss': 26.8849, 'grad_norm': 52476048.0, 'learning_rate': 1.7421203438395417e-05, 'epoch': 0.0}
{'loss': 26.5605, 'grad_norm': 17019626.0, 'learning_rate': 1.7879656160458453e-05, 'epoch': 0.0}
{'loss': 27.2787, 'grad_norm': 11486821.0, 'learning_rate': 1.833810888252149e-05, 'epoch': 0.0}
{'loss': 26.7531, 'grad_norm': 10122829.0, 'learning_rate': 1.879656160458453e-05, 'epoch': 0.0}
{'loss': 26.4715, 'grad_norm': 12841718.0, 'learning_rate': 1.9255014326647566e-05, 'epoch': 0.0}
{'loss': 26.581, 'grad_norm': 22413548.0, 'learning_rate': 1.97134670487106e-05, 'epoch': 0.0}
{'loss': 26.4448, 'grad_norm': 17040020.0, 'learning_rate': 2.0171919770773637e-05, 'epoch': 0.0}
{'loss': 26.5145, 'grad_norm': 30646388.0, 'learning_rate': 2.0630372492836676e-05, 'epoch': 0.0}
{'loss': 26.8139, 'grad_norm': 85563680.0, 'learning_rate': 2.108882521489971e-05, 'epoch': 0.0}
{'loss': 27.2835, 'grad_norm': 32091146.0, 'learning_rate': 2.154727793696275e-05, 'epoch': 0.0}
{'loss': 27.1879, 'grad_norm': 32697820.0, 'learning_rate': 2.200573065902579e-05, 'epoch': 0.0}
{'loss': 26.2334, 'grad_norm': 32325794.0, 'learning_rate': 2.2464183381088825e-05, 'epoch': 0.0}
{'loss': 26.8671, 'grad_norm': 20702986.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 26.2101, 'grad_norm': 23435626.0, 'learning_rate': 2.33810888252149e-05, 'epoch': 0.0}
{'loss': 26.405, 'grad_norm': 140795968.0, 'learning_rate': 2.3839541547277938e-05, 'epoch': 0.0}
{'loss': 27.2877, 'grad_norm': 47699180.0, 'learning_rate': 2.4297994269340974e-05, 'epoch': 0.0}
{'loss': 26.9977, 'grad_norm': 32257594.0, 'learning_rate': 2.4756446991404012e-05, 'epoch': 0.0}
{'loss': 27.0771, 'grad_norm': 13192548.0, 'learning_rate': 2.521489971346705e-05, 'epoch': 0.0}
{'loss': 27.1102, 'grad_norm': 11273464.0, 'learning_rate': 2.5673352435530087e-05, 'epoch': 0.0}
{'loss': 27.0444, 'grad_norm': 27593356.0, 'learning_rate': 2.6131805157593126e-05, 'epoch': 0.0}
{'loss': 26.9844, 'grad_norm': 67182576.0, 'learning_rate': 2.659025787965616e-05, 'epoch': 0.0}
{'loss': 26.9428, 'grad_norm': 8336353.0, 'learning_rate': 2.70487106017192e-05, 'epoch': 0.0}
{'loss': 26.318, 'grad_norm': 21711440.0, 'learning_rate': 2.7507163323782236e-05, 'epoch': 0.0}
{'loss': 25.8539, 'grad_norm': 28549328.0, 'learning_rate': 2.796561604584527e-05, 'epoch': 0.0}
{'loss': 26.5654, 'grad_norm': 23225450.0, 'learning_rate': 2.842406876790831e-05, 'epoch': 0.0}
{'loss': 26.6176, 'grad_norm': 61866580.0, 'learning_rate': 2.8882521489971346e-05, 'epoch': 0.0}
{'loss': 25.8453, 'grad_norm': 44125980.0, 'learning_rate': 2.9340974212034384e-05, 'epoch': 0.0}
{'loss': 26.4936, 'grad_norm': 35482524.0, 'learning_rate': 2.979942693409742e-05, 'epoch': 0.0}
{'loss': 26.8016, 'grad_norm': 84546704.0, 'learning_rate': 3.025787965616046e-05, 'epoch': 0.0}
{'loss': 27.0172, 'grad_norm': 35538868.0, 'learning_rate': 3.07163323782235e-05, 'epoch': 0.0}
{'loss': 26.1995, 'grad_norm': 14051477.0, 'learning_rate': 3.117478510028654e-05, 'epoch': 0.0}
{'loss': 26.197, 'grad_norm': 16140480.0, 'learning_rate': 3.163323782234957e-05, 'epoch': 0.0}
{'loss': 26.5169, 'grad_norm': 20572514.0, 'learning_rate': 3.209169054441261e-05, 'epoch': 0.0}
{'loss': 26.0585, 'grad_norm': 60087892.0, 'learning_rate': 3.255014326647564e-05, 'epoch': 0.0}
{'loss': 26.5713, 'grad_norm': 26927208.0, 'learning_rate': 3.3008595988538685e-05, 'epoch': 0.0}
{'loss': 25.5907, 'grad_norm': 53785592.0, 'learning_rate': 3.346704871060172e-05, 'epoch': 0.0}
{'loss': 25.8233, 'grad_norm': 61805116.0, 'learning_rate': 3.3925501432664757e-05, 'epoch': 0.0}
{'loss': 26.3755, 'grad_norm': 64540108.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 25.8674, 'grad_norm': 79643152.0, 'learning_rate': 3.4842406876790834e-05, 'epoch': 0.0}
{'loss': 26.4219, 'grad_norm': 39773268.0, 'learning_rate': 3.5300859598853866e-05, 'epoch': 0.0}
{'loss': 25.9551, 'grad_norm': 11151591.0, 'learning_rate': 3.5759312320916905e-05, 'epoch': 0.0}
{'loss': 25.7034, 'grad_norm': 25773462.0, 'learning_rate': 3.6217765042979944e-05, 'epoch': 0.0}
{'loss': 25.9417, 'grad_norm': 425945856.0, 'learning_rate': 3.667621776504298e-05, 'epoch': 0.0}
{'loss': 26.0102, 'grad_norm': 15067988.0, 'learning_rate': 3.7134670487106015e-05, 'epoch': 0.0}
{'loss': 25.7406, 'grad_norm': 19284548.0, 'learning_rate': 3.759312320916906e-05, 'epoch': 0.0}
{'loss': 25.1763, 'grad_norm': 20601510.0, 'learning_rate': 3.805157593123209e-05, 'epoch': 0.0}
{'loss': 26.4652, 'grad_norm': 66225176.0, 'learning_rate': 3.851002865329513e-05, 'epoch': 0.0}
{'loss': 25.6573, 'grad_norm': 20085658.0, 'learning_rate': 3.8968481375358164e-05, 'epoch': 0.0}
{'loss': 26.155, 'grad_norm': 24833306.0, 'learning_rate': 3.94269340974212e-05, 'epoch': 0.0}
{'loss': 26.2599, 'grad_norm': 25953556.0, 'learning_rate': 3.988538681948424e-05, 'epoch': 0.0}
{'loss': 25.4642, 'grad_norm': 282978272.0, 'learning_rate': 4.0343839541547274e-05, 'epoch': 0.0}
{'loss': 26.0799, 'grad_norm': 16550042.0, 'learning_rate': 4.080229226361032e-05, 'epoch': 0.0}
{'loss': 25.9323, 'grad_norm': 25639630.0, 'learning_rate': 4.126074498567335e-05, 'epoch': 0.0}
{'loss': 25.5501, 'grad_norm': 28767854.0, 'learning_rate': 4.171919770773639e-05, 'epoch': 0.0}
{'loss': 25.0506, 'grad_norm': 83676072.0, 'learning_rate': 4.217765042979942e-05, 'epoch': 0.0}
{'loss': 25.5752, 'grad_norm': 33069876.0, 'learning_rate': 4.263610315186247e-05, 'epoch': 0.0}
{'loss': 25.7367, 'grad_norm': 24818594.0, 'learning_rate': 4.30945558739255e-05, 'epoch': 0.0}
{'loss': 25.4286, 'grad_norm': 26193708.0, 'learning_rate': 4.355300859598854e-05, 'epoch': 0.0}
{'loss': 24.8559, 'grad_norm': 37505092.0, 'learning_rate': 4.401146131805158e-05, 'epoch': 0.0}
{'loss': 25.3702, 'grad_norm': 25368856.0, 'learning_rate': 4.446991404011462e-05, 'epoch': 0.0}
{'loss': 25.411, 'grad_norm': 67267432.0, 'learning_rate': 4.492836676217765e-05, 'epoch': 0.0}
{'loss': 26.0282, 'grad_norm': 9987249.0, 'learning_rate': 4.538681948424069e-05, 'epoch': 0.0}
{'loss': 25.0891, 'grad_norm': 32124782.0, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 25.1719, 'grad_norm': 33591448.0, 'learning_rate': 4.6303724928366766e-05, 'epoch': 0.0}
{'loss': 25.207, 'grad_norm': 25964370.0, 'learning_rate': 4.67621776504298e-05, 'epoch': 0.0}
