  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.9916, 'grad_norm': 2379640.75, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.4238, 'grad_norm': 7124674.5, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 27.1282, 'grad_norm': 6018623.5, 'learning_rate': 9.169054441260745e-07, 'epoch': 0.0}
{'loss': 27.3042, 'grad_norm': 4010477.75, 'learning_rate': 1.3753581661891118e-06, 'epoch': 0.0}
{'loss': 26.6281, 'grad_norm': 3596901.25, 'learning_rate': 1.833810888252149e-06, 'epoch': 0.0}
{'loss': 26.6347, 'grad_norm': 11565317.0, 'learning_rate': 2.2922636103151864e-06, 'epoch': 0.0}
{'loss': 26.9011, 'grad_norm': 7389860.5, 'learning_rate': 2.7507163323782236e-06, 'epoch': 0.0}
{'loss': 27.1746, 'grad_norm': 151141040.0, 'learning_rate': 3.209169054441261e-06, 'epoch': 0.0}
{'loss': 26.6471, 'grad_norm': 14298316.0, 'learning_rate': 3.667621776504298e-06, 'epoch': 0.0}
{'loss': 26.5807, 'grad_norm': 7762471.0, 'learning_rate': 4.126074498567336e-06, 'epoch': 0.0}
{'loss': 26.0052, 'grad_norm': 6591341.0, 'learning_rate': 4.584527220630373e-06, 'epoch': 0.0}
{'loss': 27.0136, 'grad_norm': 18287360.0, 'learning_rate': 5.042979942693409e-06, 'epoch': 0.0}
{'loss': 26.9656, 'grad_norm': 5518282.0, 'learning_rate': 5.501432664756447e-06, 'epoch': 0.0}
{'loss': 26.8482, 'grad_norm': 11572355.0, 'learning_rate': 5.9598853868194845e-06, 'epoch': 0.0}
{'loss': 26.0021, 'grad_norm': 6489876.0, 'learning_rate': 6.418338108882522e-06, 'epoch': 0.0}
{'loss': 26.699, 'grad_norm': 13250507.0, 'learning_rate': 6.876790830945559e-06, 'epoch': 0.0}
{'loss': 27.6311, 'grad_norm': 3785518.5, 'learning_rate': 7.335243553008596e-06, 'epoch': 0.0}
{'loss': 27.2921, 'grad_norm': 4444612.5, 'learning_rate': 7.793696275071634e-06, 'epoch': 0.0}
{'loss': 27.8645, 'grad_norm': 2843234.0, 'learning_rate': 8.252148997134671e-06, 'epoch': 0.0}
{'loss': 27.3449, 'grad_norm': 7813885.0, 'learning_rate': 8.710601719197709e-06, 'epoch': 0.0}
{'loss': 27.0946, 'grad_norm': 4913813.5, 'learning_rate': 9.169054441260746e-06, 'epoch': 0.0}
{'loss': 26.7153, 'grad_norm': 3365000.75, 'learning_rate': 9.627507163323783e-06, 'epoch': 0.0}
{'loss': 26.6536, 'grad_norm': 13060305.0, 'learning_rate': 1.0085959885386818e-05, 'epoch': 0.0}
{'loss': 25.9621, 'grad_norm': 22278884.0, 'learning_rate': 1.0544412607449856e-05, 'epoch': 0.0}
{'loss': 26.8065, 'grad_norm': 36337468.0, 'learning_rate': 1.1002865329512895e-05, 'epoch': 0.0}
{'loss': 26.4837, 'grad_norm': 7781675.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 27.2023, 'grad_norm': 7672164.0, 'learning_rate': 1.1919770773638969e-05, 'epoch': 0.0}
{'loss': 26.9137, 'grad_norm': 4024588.25, 'learning_rate': 1.2378223495702006e-05, 'epoch': 0.0}
{'loss': 27.0585, 'grad_norm': 9636417.0, 'learning_rate': 1.2836676217765043e-05, 'epoch': 0.0}
{'loss': 26.9124, 'grad_norm': 34823876.0, 'learning_rate': 1.329512893982808e-05, 'epoch': 0.0}
{'loss': 26.4995, 'grad_norm': 8909451.0, 'learning_rate': 1.3753581661891118e-05, 'epoch': 0.0}
{'loss': 26.7132, 'grad_norm': 6096344.0, 'learning_rate': 1.4212034383954155e-05, 'epoch': 0.0}
{'loss': 26.8927, 'grad_norm': 9947024.0, 'learning_rate': 1.4670487106017192e-05, 'epoch': 0.0}
{'loss': 27.0621, 'grad_norm': 9492859.0, 'learning_rate': 1.512893982808023e-05, 'epoch': 0.0}
{'loss': 27.2704, 'grad_norm': 19558512.0, 'learning_rate': 1.558739255014327e-05, 'epoch': 0.0}
{'loss': 27.4773, 'grad_norm': 4469439.5, 'learning_rate': 1.6045845272206304e-05, 'epoch': 0.0}
{'loss': 26.6173, 'grad_norm': 4692901.0, 'learning_rate': 1.6504297994269343e-05, 'epoch': 0.0}
{'loss': 26.3044, 'grad_norm': 7005262.0, 'learning_rate': 1.6962750716332378e-05, 'epoch': 0.0}
{'loss': 25.9901, 'grad_norm': 5267908.0, 'learning_rate': 1.7421203438395417e-05, 'epoch': 0.0}
{'loss': 27.8526, 'grad_norm': 3931973.75, 'learning_rate': 1.7879656160458453e-05, 'epoch': 0.0}
{'loss': 27.364, 'grad_norm': 22655672.0, 'learning_rate': 1.833810888252149e-05, 'epoch': 0.0}
{'loss': 26.7047, 'grad_norm': 5663538.5, 'learning_rate': 1.879656160458453e-05, 'epoch': 0.0}
{'loss': 27.493, 'grad_norm': 4364981.0, 'learning_rate': 1.9255014326647566e-05, 'epoch': 0.0}
{'loss': 26.8541, 'grad_norm': 5271982.0, 'learning_rate': 1.97134670487106e-05, 'epoch': 0.0}
{'loss': 26.783, 'grad_norm': 1579513.25, 'learning_rate': 2.0171919770773637e-05, 'epoch': 0.0}
{'loss': 27.2463, 'grad_norm': 1823219.25, 'learning_rate': 2.0630372492836676e-05, 'epoch': 0.0}
{'loss': 27.5945, 'grad_norm': 5834267.0, 'learning_rate': 2.108882521489971e-05, 'epoch': 0.0}
{'loss': 27.6282, 'grad_norm': 2489395.5, 'learning_rate': 2.154727793696275e-05, 'epoch': 0.0}
{'loss': 26.1279, 'grad_norm': 14708329.0, 'learning_rate': 2.200573065902579e-05, 'epoch': 0.0}
{'loss': 28.1527, 'grad_norm': 4496067.0, 'learning_rate': 2.2464183381088825e-05, 'epoch': 0.0}
{'loss': 27.0042, 'grad_norm': 7916802.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 26.7033, 'grad_norm': 2366377.75, 'learning_rate': 2.33810888252149e-05, 'epoch': 0.0}
{'loss': 26.8283, 'grad_norm': 5053857.0, 'learning_rate': 2.3839541547277938e-05, 'epoch': 0.0}
{'loss': 26.366, 'grad_norm': 3830495.0, 'learning_rate': 2.4297994269340974e-05, 'epoch': 0.0}
{'loss': 27.17, 'grad_norm': 13816855.0, 'learning_rate': 2.4756446991404012e-05, 'epoch': 0.0}
{'loss': 26.8159, 'grad_norm': 12098133.0, 'learning_rate': 2.521489971346705e-05, 'epoch': 0.0}
{'loss': 26.5564, 'grad_norm': 5839492.5, 'learning_rate': 2.5673352435530087e-05, 'epoch': 0.0}
{'loss': 26.4188, 'grad_norm': 5473752.5, 'learning_rate': 2.6131805157593126e-05, 'epoch': 0.0}
{'loss': 27.6092, 'grad_norm': 15370846.0, 'learning_rate': 2.659025787965616e-05, 'epoch': 0.0}
{'loss': 26.8598, 'grad_norm': 3248821.0, 'learning_rate': 2.70487106017192e-05, 'epoch': 0.0}
{'loss': 27.1678, 'grad_norm': 4680243.5, 'learning_rate': 2.7507163323782236e-05, 'epoch': 0.0}
{'loss': 26.9869, 'grad_norm': 45157412.0, 'learning_rate': 2.796561604584527e-05, 'epoch': 0.0}
{'loss': 26.9629, 'grad_norm': 29488850.0, 'learning_rate': 2.842406876790831e-05, 'epoch': 0.0}
{'loss': 26.6802, 'grad_norm': 5168649.0, 'learning_rate': 2.8882521489971346e-05, 'epoch': 0.0}
{'loss': 26.9473, 'grad_norm': 4233950.5, 'learning_rate': 2.9340974212034384e-05, 'epoch': 0.0}
{'loss': 27.0265, 'grad_norm': 4315956.5, 'learning_rate': 2.979942693409742e-05, 'epoch': 0.0}
{'loss': 27.2524, 'grad_norm': 5322325.0, 'learning_rate': 3.025787965616046e-05, 'epoch': 0.0}
{'loss': 27.2528, 'grad_norm': 12612458.0, 'learning_rate': 3.07163323782235e-05, 'epoch': 0.0}
{'loss': 26.375, 'grad_norm': 2615425.5, 'learning_rate': 3.117478510028654e-05, 'epoch': 0.0}
{'loss': 27.0463, 'grad_norm': 4540751.5, 'learning_rate': 3.163323782234957e-05, 'epoch': 0.0}
{'loss': 27.1829, 'grad_norm': 4980548.5, 'learning_rate': 3.209169054441261e-05, 'epoch': 0.0}
{'loss': 26.64, 'grad_norm': 45806252.0, 'learning_rate': 3.255014326647564e-05, 'epoch': 0.0}
{'loss': 27.4626, 'grad_norm': 7455152.0, 'learning_rate': 3.3008595988538685e-05, 'epoch': 0.0}
{'loss': 27.2505, 'grad_norm': 4627991.0, 'learning_rate': 3.346704871060172e-05, 'epoch': 0.0}
{'loss': 27.1818, 'grad_norm': 7272533.0, 'learning_rate': 3.3925501432664757e-05, 'epoch': 0.0}
{'loss': 26.4143, 'grad_norm': 3390998.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 27.0817, 'grad_norm': 9798663.0, 'learning_rate': 3.4842406876790834e-05, 'epoch': 0.0}
{'loss': 26.7169, 'grad_norm': 24132826.0, 'learning_rate': 3.5300859598853866e-05, 'epoch': 0.0}
{'loss': 27.0526, 'grad_norm': 21653442.0, 'learning_rate': 3.5759312320916905e-05, 'epoch': 0.0}
{'loss': 27.101, 'grad_norm': 5682877.5, 'learning_rate': 3.6217765042979944e-05, 'epoch': 0.0}
{'loss': 26.9089, 'grad_norm': 7385983.5, 'learning_rate': 3.667621776504298e-05, 'epoch': 0.0}
{'loss': 27.2835, 'grad_norm': 4759843.5, 'learning_rate': 3.7134670487106015e-05, 'epoch': 0.0}
{'loss': 26.4695, 'grad_norm': 1853441.5, 'learning_rate': 3.759312320916906e-05, 'epoch': 0.0}
{'loss': 27.2286, 'grad_norm': 13122568.0, 'learning_rate': 3.805157593123209e-05, 'epoch': 0.0}
{'loss': 27.6906, 'grad_norm': 28313982.0, 'learning_rate': 3.851002865329513e-05, 'epoch': 0.0}
{'loss': 26.6766, 'grad_norm': 7592956.5, 'learning_rate': 3.8968481375358164e-05, 'epoch': 0.0}
{'loss': 27.1872, 'grad_norm': 3622828.5, 'learning_rate': 3.94269340974212e-05, 'epoch': 0.0}
{'loss': 26.9487, 'grad_norm': 7480721.5, 'learning_rate': 3.988538681948424e-05, 'epoch': 0.0}
{'loss': 27.1713, 'grad_norm': 10023091.0, 'learning_rate': 4.0343839541547274e-05, 'epoch': 0.0}
{'loss': 26.387, 'grad_norm': 2391631.75, 'learning_rate': 4.080229226361032e-05, 'epoch': 0.0}
{'loss': 27.3256, 'grad_norm': 9203522.0, 'learning_rate': 4.126074498567335e-05, 'epoch': 0.0}
{'loss': 27.1318, 'grad_norm': 4117308.75, 'learning_rate': 4.171919770773639e-05, 'epoch': 0.0}
{'loss': 26.6076, 'grad_norm': 12567260.0, 'learning_rate': 4.217765042979942e-05, 'epoch': 0.0}
{'loss': 27.1782, 'grad_norm': 3486827.5, 'learning_rate': 4.263610315186247e-05, 'epoch': 0.0}
{'loss': 27.0518, 'grad_norm': 248611744.0, 'learning_rate': 4.30945558739255e-05, 'epoch': 0.0}
{'loss': 27.1006, 'grad_norm': 6394757.0, 'learning_rate': 4.355300859598854e-05, 'epoch': 0.0}
{'loss': 26.1495, 'grad_norm': 5718266.0, 'learning_rate': 4.401146131805158e-05, 'epoch': 0.0}
{'loss': 26.9179, 'grad_norm': 5171195.5, 'learning_rate': 4.446991404011462e-05, 'epoch': 0.0}
{'loss': 27.7738, 'grad_norm': 7780187.5, 'learning_rate': 4.492836676217765e-05, 'epoch': 0.0}
{'loss': 26.7587, 'grad_norm': 4061293.75, 'learning_rate': 4.538681948424069e-05, 'epoch': 0.0}
{'loss': 26.9846, 'grad_norm': 2774045.25, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 27.4757, 'grad_norm': 9689090.0, 'learning_rate': 4.6303724928366766e-05, 'epoch': 0.0}
{'loss': 26.5717, 'grad_norm': 2352997.75, 'learning_rate': 4.67621776504298e-05, 'epoch': 0.0}
{'loss': 27.5262, 'grad_norm': 9261868.0, 'learning_rate': 4.722063037249284e-05, 'epoch': 0.0}
{'loss': 26.7628, 'grad_norm': 4974405.5, 'learning_rate': 4.7679083094555876e-05, 'epoch': 0.0}
{'loss': 26.7875, 'grad_norm': 2992399.25, 'learning_rate': 4.813753581661891e-05, 'epoch': 0.0}
{'loss': 26.8151, 'grad_norm': 3929997.75, 'learning_rate': 4.859598853868195e-05, 'epoch': 0.0}
{'loss': 27.1057, 'grad_norm': 3615716.0, 'learning_rate': 4.9054441260744986e-05, 'epoch': 0.0}
{'loss': 26.4732, 'grad_norm': 15389469.0, 'learning_rate': 4.9512893982808025e-05, 'epoch': 0.0}
{'loss': 26.507, 'grad_norm': 14183028.0, 'learning_rate': 4.997134670487106e-05, 'epoch': 0.0}
{'loss': 26.266, 'grad_norm': 2630412.0, 'learning_rate': 5.04297994269341e-05, 'epoch': 0.0}
{'loss': 27.298, 'grad_norm': 4198273.5, 'learning_rate': 5.0888252148997135e-05, 'epoch': 0.0}
{'loss': 27.531, 'grad_norm': 3600892.25, 'learning_rate': 5.1346704871060174e-05, 'epoch': 0.0}
{'loss': 27.4541, 'grad_norm': 8350400.5, 'learning_rate': 5.1805157593123206e-05, 'epoch': 0.0}
{'loss': 26.6127, 'grad_norm': 7763775.5, 'learning_rate': 5.226361031518625e-05, 'epoch': 0.0}
{'loss': 26.3174, 'grad_norm': 2635139.25, 'learning_rate': 5.2722063037249284e-05, 'epoch': 0.0}
{'loss': 26.8529, 'grad_norm': 6093203.5, 'learning_rate': 5.318051575931232e-05, 'epoch': 0.0}
{'loss': 27.7753, 'grad_norm': 3971438.0, 'learning_rate': 5.363896848137536e-05, 'epoch': 0.0}
{'loss': 26.6003, 'grad_norm': 2146754.0, 'learning_rate': 5.40974212034384e-05, 'epoch': 0.0}
{'loss': 27.1916, 'grad_norm': 14041049.0, 'learning_rate': 5.455587392550143e-05, 'epoch': 0.0}
{'loss': 26.7589, 'grad_norm': 4172319.75, 'learning_rate': 5.501432664756447e-05, 'epoch': 0.0}
