  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.6927, 'grad_norm': 13415039.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.3583, 'grad_norm': 6696919.5, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 27.7159, 'grad_norm': 4993417.5, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 27.5661, 'grad_norm': 6781857.5, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 26.6685, 'grad_norm': 2607584.25, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 27.379, 'grad_norm': 10079083.0, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 27.3582, 'grad_norm': 8689011.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 27.5186, 'grad_norm': 1897632.5, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 26.641, 'grad_norm': 4089528.5, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 27.8176, 'grad_norm': 8288099.5, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 26.9894, 'grad_norm': 2289031.0, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 26.9414, 'grad_norm': 3913921.0, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 28.0501, 'grad_norm': 12825853.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 27.2342, 'grad_norm': 3065951.25, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 26.7202, 'grad_norm': 32408220.0, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 27.1791, 'grad_norm': 3413168.25, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 27.1003, 'grad_norm': 7958489.0, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 26.5069, 'grad_norm': 13638372.0, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 26.8904, 'grad_norm': 8746205.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 27.1655, 'grad_norm': 19462914.0, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 26.7526, 'grad_norm': 9975023.0, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 27.3321, 'grad_norm': 5661359.5, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
