  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.4456, 'grad_norm': 16611117.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 26.9597, 'grad_norm': 31837444.0, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 26.7194, 'grad_norm': 27246672.0, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 26.8764, 'grad_norm': 8809748.0, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 27.3425, 'grad_norm': 52955532.0, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 26.7663, 'grad_norm': 32012056.0, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 26.9244, 'grad_norm': 48457652.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 27.0075, 'grad_norm': 27062566.0, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 26.2724, 'grad_norm': 21292204.0, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 27.5514, 'grad_norm': 22469148.0, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 27.2412, 'grad_norm': 33556268.0, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 26.5831, 'grad_norm': 42596704.0, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 27.2798, 'grad_norm': 37427160.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 26.7911, 'grad_norm': 36397728.0, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 26.8582, 'grad_norm': 15559280.0, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 27.4824, 'grad_norm': 35351060.0, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 26.9434, 'grad_norm': 18947974.0, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 27.375, 'grad_norm': 19790478.0, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 27.3034, 'grad_norm': 42274840.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 27.1864, 'grad_norm': 34535500.0, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
