  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.799, 'grad_norm': 137995696.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 27.2917, 'grad_norm': 52314748.0, 'learning_rate': 4.5845272206303726e-07, 'epoch': 0.0}
{'loss': 27.3092, 'grad_norm': 13323384.0, 'learning_rate': 9.169054441260745e-07, 'epoch': 0.0}
{'loss': 26.8995, 'grad_norm': 13403307.0, 'learning_rate': 1.3753581661891118e-06, 'epoch': 0.0}
{'loss': 27.6878, 'grad_norm': 49479500.0, 'learning_rate': 1.833810888252149e-06, 'epoch': 0.0}
{'loss': 27.2202, 'grad_norm': 23172580.0, 'learning_rate': 2.2922636103151864e-06, 'epoch': 0.0}
{'loss': 27.396, 'grad_norm': 41924692.0, 'learning_rate': 2.7507163323782236e-06, 'epoch': 0.0}
{'loss': 27.3004, 'grad_norm': 28844734.0, 'learning_rate': 3.209169054441261e-06, 'epoch': 0.0}
{'loss': 26.7228, 'grad_norm': 50317968.0, 'learning_rate': 3.667621776504298e-06, 'epoch': 0.0}
{'loss': 27.072, 'grad_norm': 35327596.0, 'learning_rate': 4.126074498567336e-06, 'epoch': 0.0}
{'loss': 26.9027, 'grad_norm': 12120021.0, 'learning_rate': 4.584527220630373e-06, 'epoch': 0.0}
{'loss': 27.6211, 'grad_norm': 90464896.0, 'learning_rate': 5.042979942693409e-06, 'epoch': 0.0}
{'loss': 27.2501, 'grad_norm': 53397568.0, 'learning_rate': 5.501432664756447e-06, 'epoch': 0.0}
{'loss': 27.5201, 'grad_norm': 21501948.0, 'learning_rate': 5.9598853868194845e-06, 'epoch': 0.0}
{'loss': 26.9521, 'grad_norm': 32967430.0, 'learning_rate': 6.418338108882522e-06, 'epoch': 0.0}
{'loss': 27.3503, 'grad_norm': 47924908.0, 'learning_rate': 6.876790830945559e-06, 'epoch': 0.0}
{'loss': 26.9926, 'grad_norm': 17524466.0, 'learning_rate': 7.335243553008596e-06, 'epoch': 0.0}
{'loss': 27.0575, 'grad_norm': 59336928.0, 'learning_rate': 7.793696275071634e-06, 'epoch': 0.0}
{'loss': 27.4284, 'grad_norm': 15328381.0, 'learning_rate': 8.252148997134671e-06, 'epoch': 0.0}
{'loss': 27.5939, 'grad_norm': 42559360.0, 'learning_rate': 8.710601719197709e-06, 'epoch': 0.0}
{'loss': 26.555, 'grad_norm': 34966260.0, 'learning_rate': 9.169054441260746e-06, 'epoch': 0.0}
{'loss': 27.569, 'grad_norm': 116106480.0, 'learning_rate': 9.627507163323783e-06, 'epoch': 0.0}
{'loss': 27.3652, 'grad_norm': 20096130.0, 'learning_rate': 1.0085959885386818e-05, 'epoch': 0.0}
