  0%|                                                                                                                                                                                   | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                                                                                  
{'loss': 116.4948, 'grad_norm': 2607748864.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 114.3593, 'grad_norm': 54610128896.0, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 115.1829, 'grad_norm': 1934790912.0, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 115.6583, 'grad_norm': 85392777216.0, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 116.9119, 'grad_norm': 62373953536.0, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 111.1484, 'grad_norm': 3430916608.0, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 114.1785, 'grad_norm': 8734349312.0, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 115.0652, 'grad_norm': 2690895872.0, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 114.9492, 'grad_norm': 557514048.0, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 110.0871, 'grad_norm': 1620492800.0, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 115.7205, 'grad_norm': 443473792.0, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 118.7727, 'grad_norm': 5312224768.0, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 114.0467, 'grad_norm': 577239488.0, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 113.4201, 'grad_norm': 4490448896.0, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 112.2455, 'grad_norm': 214085152.0, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 113.6039, 'grad_norm': 5744726016.0, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
{'loss': 111.2267, 'grad_norm': 1349339648.0, 'learning_rate': 3.056351480420248e-05, 'epoch': 0.0}
{'loss': 119.9295, 'grad_norm': 1464512512.0, 'learning_rate': 3.247373447946514e-05, 'epoch': 0.0}
{'loss': 115.1135, 'grad_norm': 539452608.0, 'learning_rate': 3.4383954154727795e-05, 'epoch': 0.0}
{'loss': 113.4124, 'grad_norm': 9712459776.0, 'learning_rate': 3.629417382999045e-05, 'epoch': 0.0}
{'loss': 114.7481, 'grad_norm': 662961920.0, 'learning_rate': 3.820439350525311e-05, 'epoch': 0.0}
{'loss': 113.4375, 'grad_norm': 584133440.0, 'learning_rate': 4.0114613180515765e-05, 'epoch': 0.0}
{'loss': 111.3796, 'grad_norm': 303558272.0, 'learning_rate': 4.202483285577841e-05, 'epoch': 0.0}
{'loss': 116.2812, 'grad_norm': 1600144128.0, 'learning_rate': 4.3935052531041066e-05, 'epoch': 0.0}
{'loss': 116.1984, 'grad_norm': 5722763776.0, 'learning_rate': 4.584527220630373e-05, 'epoch': 0.0}
{'loss': 111.7682, 'grad_norm': 67866071040.0, 'learning_rate': 4.775549188156638e-05, 'epoch': 0.0}
{'loss': 111.6226, 'grad_norm': 2660433920.0, 'learning_rate': 4.9665711556829036e-05, 'epoch': 0.0}
{'loss': 109.444, 'grad_norm': 11432147968.0, 'learning_rate': 5.157593123209169e-05, 'epoch': 0.0}
{'loss': 112.8418, 'grad_norm': 1318546432.0, 'learning_rate': 5.348615090735435e-05, 'epoch': 0.0}
{'loss': 113.1372, 'grad_norm': 6053260288.0, 'learning_rate': 5.5396370582617005e-05, 'epoch': 0.0}
{'loss': 109.9555, 'grad_norm': 939963904.0, 'learning_rate': 5.730659025787966e-05, 'epoch': 0.0}
{'loss': 109.3047, 'grad_norm': 1192472832.0, 'learning_rate': 5.921680993314231e-05, 'epoch': 0.0}
{'loss': 111.6223, 'grad_norm': 1886671616.0, 'learning_rate': 6.112702960840496e-05, 'epoch': 0.0}
{'loss': 109.0808, 'grad_norm': 1202959360.0, 'learning_rate': 6.303724928366763e-05, 'epoch': 0.0}
{'loss': 107.7357, 'grad_norm': 27692935168.0, 'learning_rate': 6.494746895893028e-05, 'epoch': 0.0}
{'loss': 111.5044, 'grad_norm': 29339924480.0, 'learning_rate': 6.685768863419294e-05, 'epoch': 0.0}
{'loss': 108.0371, 'grad_norm': 2473907200.0, 'learning_rate': 6.876790830945559e-05, 'epoch': 0.0}
{'loss': 108.1057, 'grad_norm': 18610655232.0, 'learning_rate': 7.067812798471824e-05, 'epoch': 0.0}
{'loss': 106.7285, 'grad_norm': 2444603648.0, 'learning_rate': 7.25883476599809e-05, 'epoch': 0.0}
{'loss': 110.9071, 'grad_norm': 494080416.0, 'learning_rate': 7.449856733524355e-05, 'epoch': 0.0}
{'loss': 108.9782, 'grad_norm': 257366416.0, 'learning_rate': 7.640878701050622e-05, 'epoch': 0.0}
{'loss': 109.6582, 'grad_norm': 1090240768.0, 'learning_rate': 7.831900668576888e-05, 'epoch': 0.0}
{'loss': 105.7848, 'grad_norm': 5565974016.0, 'learning_rate': 8.022922636103153e-05, 'epoch': 0.0}
{'loss': 107.5575, 'grad_norm': 3608291328.0, 'learning_rate': 8.213944603629417e-05, 'epoch': 0.0}
{'loss': 109.4385, 'grad_norm': 2236393728.0, 'learning_rate': 8.404966571155682e-05, 'epoch': 0.0}
{'loss': 106.2544, 'grad_norm': 158688800.0, 'learning_rate': 8.595988538681948e-05, 'epoch': 0.0}
