  0%|                                                                                                                                                                                   | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                                                                                  
{'loss': 15.4661, 'grad_norm': 26.097429275512695, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 15.8009, 'grad_norm': 25.18329429626465, 'learning_rate': 1.910219675262655e-06, 'epoch': 0.0}
{'loss': 16.0809, 'grad_norm': 26.492698669433594, 'learning_rate': 3.82043935052531e-06, 'epoch': 0.0}
{'loss': 15.5672, 'grad_norm': 23.772396087646484, 'learning_rate': 5.730659025787966e-06, 'epoch': 0.0}
{'loss': 15.7993, 'grad_norm': 23.320219039916992, 'learning_rate': 7.64087870105062e-06, 'epoch': 0.0}
{'loss': 15.6053, 'grad_norm': 25.912694931030273, 'learning_rate': 9.551098376313278e-06, 'epoch': 0.0}
{'loss': 15.3991, 'grad_norm': 24.6939697265625, 'learning_rate': 1.1461318051575932e-05, 'epoch': 0.0}
{'loss': 15.1232, 'grad_norm': 25.17667007446289, 'learning_rate': 1.3371537726838588e-05, 'epoch': 0.0}
{'loss': 14.948, 'grad_norm': 24.37964630126953, 'learning_rate': 1.528175740210124e-05, 'epoch': 0.0}
{'loss': 14.38, 'grad_norm': 22.778209686279297, 'learning_rate': 1.7191977077363898e-05, 'epoch': 0.0}
{'loss': 14.2977, 'grad_norm': 25.362520217895508, 'learning_rate': 1.9102196752626555e-05, 'epoch': 0.0}
{'loss': 14.2531, 'grad_norm': 21.61014175415039, 'learning_rate': 2.1012416427889206e-05, 'epoch': 0.0}
{'loss': 13.855, 'grad_norm': 22.174528121948242, 'learning_rate': 2.2922636103151864e-05, 'epoch': 0.0}
{'loss': 13.738, 'grad_norm': 22.63618278503418, 'learning_rate': 2.4832855778414518e-05, 'epoch': 0.0}
{'loss': 13.2307, 'grad_norm': 25.59463119506836, 'learning_rate': 2.6743075453677175e-05, 'epoch': 0.0}
{'loss': 13.5079, 'grad_norm': 19.976900100708008, 'learning_rate': 2.865329512893983e-05, 'epoch': 0.0}
